dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Sociodemográfico,FaixaEtaria,FaixaEtaria: 10.45 a 49 anos,Óbito por meningite,5944,27,203,368,5346,1.9321856928678518,1.2756874380513257,2.9265331305810145,0.004046729773211216,p=0.0040: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 10.45 a 49 anos,Internação/hospitalização,5944,208,22,5177,537,0.9807013538904595,0.6263794848214579,1.535451222187973,0.9082568461936122,p=0.9083: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 10.45 a 49 anos,Confirmação,5944,158,72,3337,2377,1.5631388805647122,1.1771332058211812,2.0757235866339836,0.002046354547708913,p=0.0020: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 14.65 e +,Óbito por meningite,5944,21,203,374,5346,1.4787018255578093,0.9322169908566711,2.3455473461158816,0.10006416979319493,p=0.1001: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 14.65 e +,Internação/hospitalização,5944,205,19,5180,540,1.1247713879292827,0.6971639923243084,1.814652921024438,0.7263775826585399,p=0.7264: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 14.65 e +,Confirmação,5944,117,107,3378,2342,0.758104945137033,0.5802156238813678,0.9905336640137304,0.0447678689778617,p=0.0448: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,SexoPaciente,SexoPaciente: M,Óbito por meningite,5944,225,3285,170,2264,0.9121676067687349,0.7421690894389252,1.1211053581700974,0.39698755169920874,p=0.3970: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,SexoPaciente,SexoPaciente: M,Internação/hospitalização,5944,3177,333,2208,226,0.9765227183705445,0.817754193129029,1.1661164534601598,0.8213057950189675,p=0.8213: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,SexoPaciente,SexoPaciente: M,Confirmação,5944,2119,1391,1376,1058,1.171307867854814,1.0546951520466694,1.3008139068775035,0.003205633910773718,p=0.0032: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,SexoPaciente,SexoPaciente: F,Óbito por meningite,5944,170,2259,225,3290,1.1003885691800699,0.8953074626015506,1.3524460073902487,0.36823435326570486,p=0.3682: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
