codigo_municipio,ano,municipio_v17,regional_v17,casos_menor1ano,nascidos_vivos,incidencia_por_1000_nv,tem_denominador_sinasc
510562,2016,MIRASSOL D OESTE,CACERES,1,,,False
510562,2019,MIRASSOL D OESTE,CACERES,1,,,False
510562,2020,MIRASSOL D OESTE,CACERES,1,,,False
510562,2023,MIRASSOL D OESTE,CACERES,1,415.0,2.4096385542168677,True
510562,2024,MIRASSOL D OESTE,CACERES,1,375.0,2.6666666666666665,True
510562,2025,MIRASSOL D OESTE,CACERES,1,485.0,2.061855670103093,True
510590,2008,NOBRES,DIAMANTINO,3,,,False
510610,2007,NOSSA SENHORA DO LIVRAMENTO,CUIABA,1,,,False
510615,2009,NOVA BANDEIRANTES,ALTA FLORESTA,1,,,False
510615,2010,NOVA BANDEIRANTES,ALTA FLORESTA,1,,,False
510615,2020,NOVA BANDEIRANTES,ALTA FLORESTA,1,,,False
510615,2023,NOVA BANDEIRANTES,ALTA FLORESTA,1,211.0,4.739336492890995,True
510617,2023,NOVA NAZARE,AGUA BOA,2,125.0,16.0,True
510618,2007,NOVA LACERDA,PONTES E LACERDA,1,,,False
510618,2013,NOVA LACERDA,PONTES E LACERDA,1,,,False
510618,2014,NOVA LACERDA,PONTES E LACERDA,1,,,False
510618,2017,NOVA LACERDA,PONTES E LACERDA,1,,,False
510621,2007,NOVA CANAA DO NORTE,COLIDER,1,,,False
510622,2009,NOVA MUTUM,SINOP,2,,,False
510622,2011,NOVA MUTUM,SINOP,1,,,False
510622,2013,NOVA MUTUM,SINOP,2,,,False
510622,2014,NOVA MUTUM,SINOP,1,,,False
510622,2017,NOVA MUTUM,SINOP,2,,,False
510622,2018,NOVA MUTUM,SINOP,1,,,False
510622,2019,NOVA MUTUM,SINOP,2,,,False
510622,2024,NOVA MUTUM,SINOP,1,1079.0,0.9267840593141798,True
510622,2026,NOVA MUTUM,SINOP,1,580.0,1.7241379310344827,True
510623,2018,NOVA OLIMPIA,TANGARA DA SERRA,1,,,False
510623,2019,NOVA OLIMPIA,TANGARA DA SERRA,1,,,False
510624,2011,NOVA UBIRATA,SINOP,1,,,False
510625,2007,NOVA XAVANTINA,BARRA DO GARCAS,2,,,False
510625,2015,NOVA XAVANTINA,BARRA DO GARCAS,1,,,False
510625,2016,NOVA XAVANTINA,BARRA DO GARCAS,1,,,False
510625,2017,NOVA XAVANTINA,BARRA DO GARCAS,3,,,False
510626,2012,NOVO MUNDO,PEIXOTO DE AZEVEDO,1,,,False
510628,2017,NOVO SAO JOAQUIM,BARRA DO GARCAS,1,,,False
510629,2007,PARANAITA,ALTA FLORESTA,2,,,False
510629,2008,PARANAITA,ALTA FLORESTA,1,,,False
510629,2009,PARANAITA,ALTA FLORESTA,1,,,False
510629,2011,PARANAITA,ALTA FLORESTA,1,,,False
510630,2007,PARANATINGA,RONDONOPOLIS,2,,,False
510630,2008,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2009,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2010,PARANATINGA,RONDONOPOLIS,2,,,False
510630,2011,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2012,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2013,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2014,PARANATINGA,RONDONOPOLIS,2,,,False
510630,2015,PARANATINGA,RONDONOPOLIS,1,,,False
510630,2020,PARANATINGA,RONDONOPOLIS,1,,,False
510637,2007,PEDRA PRETA,RONDONOPOLIS,1,,,False
510637,2008,PEDRA PRETA,RONDONOPOLIS,1,,,False
510637,2009,PEDRA PRETA,RONDONOPOLIS,1,,,False
510637,2011,PEDRA PRETA,RONDONOPOLIS,3,,,False
510637,2015,PEDRA PRETA,RONDONOPOLIS,1,,,False
510642,2008,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,,,False
510642,2009,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,,,False
510642,2011,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,,,False
510642,2012,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,,,False
510642,2015,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,,,False
510642,2022,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,2,,,False
510642,2025,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,684.0,1.461988304093567,True
510645,2007,PLANALTO DA SERRA,CUIABA,1,,,False
510645,2019,PLANALTO DA SERRA,CUIABA,1,,,False
510650,2007,POCONE,CUIABA,4,,,False
510650,2008,POCONE,CUIABA,4,,,False
510650,2010,POCONE,CUIABA,1,,,False
510650,2012,POCONE,CUIABA,1,,,False
510650,2013,POCONE,CUIABA,1,,,False
510650,2017,POCONE,CUIABA,2,,,False
510650,2022,POCONE,CUIABA,1,,,False
510650,2023,POCONE,CUIABA,1,513.0,1.949317738791423,True
510650,2025,POCONE,CUIABA,1,754.0,1.3262599469496021,True
510665,2015,PONTAL DO ARAGUAIA,BARRA DO GARCAS,1,,,False
510665,2018,PONTAL DO ARAGUAIA,BARRA DO GARCAS,1,,,False
510670,2010,PONTE BRANCA,BARRA DO GARCAS,1,,,False
510675,2007,PONTES E LACERDA,PONTES E LACERDA,2,,,False
510675,2008,PONTES E LACERDA,PONTES E LACERDA,2,,,False
510675,2010,PONTES E LACERDA,PONTES E LACERDA,1,,,False
510675,2011,PONTES E LACERDA,PONTES E LACERDA,2,,,False
510675,2012,PONTES E LACERDA,PONTES E LACERDA,3,,,False
510675,2013,PONTES E LACERDA,PONTES E LACERDA,1,,,False
510675,2015,PONTES E LACERDA,PONTES E LACERDA,1,,,False
510675,2016,PONTES E LACERDA,PONTES E LACERDA,1,,,False
510675,2017,PONTES E LACERDA,PONTES E LACERDA,2,,,False
510675,2020,PONTES E LACERDA,PONTES E LACERDA,1,,,False
510675,2026,PONTES E LACERDA,PONTES E LACERDA,1,460.0,2.1739130434782608,True
510682,2011,PORTO ESPERIDIAO,CACERES,2,,,False
510682,2016,PORTO ESPERIDIAO,CACERES,1,,,False
510682,2019,PORTO ESPERIDIAO,CACERES,1,,,False
510682,2021,PORTO ESPERIDIAO,CACERES,1,,,False
510682,2022,PORTO ESPERIDIAO,CACERES,1,,,False
510685,2009,PORTO ESTRELA,TANGARA DA SERRA,1,,,False
510685,2017,PORTO ESTRELA,TANGARA DA SERRA,1,,,False
510700,2007,POXOREO,RONDONOPOLIS,1,,,False
510700,2008,POXOREO,RONDONOPOLIS,1,,,False
510700,2009,POXOREO,RONDONOPOLIS,1,,,False
510700,2011,POXOREO,RONDONOPOLIS,1,,,False
510700,2022,POXOREO,RONDONOPOLIS,1,,,False
510704,2008,PRIMAVERA DO LESTE,RONDONOPOLIS,4,,,False
510704,2009,PRIMAVERA DO LESTE,RONDONOPOLIS,2,,,False
510704,2010,PRIMAVERA DO LESTE,RONDONOPOLIS,2,,,False
510704,2011,PRIMAVERA DO LESTE,RONDONOPOLIS,2,,,False
510704,2013,PRIMAVERA DO LESTE,RONDONOPOLIS,1,,,False
510704,2018,PRIMAVERA DO LESTE,RONDONOPOLIS,5,,,False
510704,2019,PRIMAVERA DO LESTE,RONDONOPOLIS,3,,,False
510704,2022,PRIMAVERA DO LESTE,RONDONOPOLIS,1,,,False
510704,2023,PRIMAVERA DO LESTE,RONDONOPOLIS,1,1585.0,0.6309148264984228,True
510704,2024,PRIMAVERA DO LESTE,RONDONOPOLIS,1,1481.0,0.675219446320054,True
510706,2008,QUERENCIA,AGUA BOA,2,,,False
510706,2009,QUERENCIA,AGUA BOA,1,,,False
510706,2016,QUERENCIA,AGUA BOA,1,,,False
510706,2022,QUERENCIA,AGUA BOA,1,,,False
510710,2007,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
510710,2008,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
510710,2009,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
510710,2013,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
