familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,1980,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,1980,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,1980,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,1980,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2000,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2000,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2000,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2000,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2002,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2002,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2002,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2002,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2004,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2004,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2004,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2004,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2006,0.0,0.0,7,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2006,0.0,0.0,7,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2006,6.0,,7,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2006,31.800000000000004,,7,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2007,58.01652892561984,351.0,605,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2007,70.41322314049587,426.0,605,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2007,1.0,,605,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2007,7.0,,605,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2008,52.01005025125628,207.0,398,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2008,65.32663316582915,260.0,398,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2008,1.0,,398,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2008,7.300000000000011,,398,dias,2026-07-29T12:37:49
