ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
2007,510625,NOVA XAVANTINA,BARRA DO GARCAS,Outras etiologias,2,1,2,0,,,,0.0
2007,510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,Outras etiologias,1,0,1,0,,,,
2007,510629,PARANAITA,ALTA FLORESTA,Meningite não especificada,3,3,3,0,,,,0.0
2007,510629,PARANAITA,ALTA FLORESTA,Meningite viral/asséptica,2,2,2,0,,,,0.0
2007,510629,PARANAITA,ALTA FLORESTA,Outras etiologias,2,1,0,0,,,,0.0
2007,510630,PARANATINGA,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2007,510630,PARANATINGA,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510637,PEDRA PRETA,RONDONOPOLIS,Doença meningocócica,1,1,1,1,,,,100.0
2007,510637,PEDRA PRETA,RONDONOPOLIS,Outras etiologias,2,0,2,0,,,,
2007,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Meningite não especificada,1,1,1,0,,,,0.0
2007,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Outras etiologias,2,0,1,0,,,,
2007,510645,PLANALTO DA SERRA,CUIABA,Outras etiologias,1,0,1,0,,,,
2007,510650,POCONE,CUIABA,Meningite bacteriana/outras bactérias,2,2,2,1,,,,50.0
2007,510650,POCONE,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2007,510650,POCONE,CUIABA,Meningite não especificada,3,3,2,1,,,,33.33333333333333
2007,510650,POCONE,CUIABA,Meningite pneumocócica,1,1,1,0,,,,0.0
2007,510650,POCONE,CUIABA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510650,POCONE,CUIABA,Outras etiologias,3,0,2,0,,,,
2007,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2007,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite viral/asséptica,3,3,3,0,,,,0.0
