ano_evento_v17,semana_epi_v17,sorogrupo,casos
2012,30,*Em Branco,2
2012,31,*Em Branco,5
2012,33,*Em Branco,1
2012,33,B,1
2012,34,B,1
2012,35,B,2
2012,35,*Em Branco,1
2012,35,C,1
2012,43,*Em Branco,1
2012,43,W,1
2012,48,W,1
2012,52,*Em Branco,1
2013,2,*Em Branco,1
2013,2,B,1
2013,8,*Em Branco,1
2013,9,*Em Branco,1
2013,10,C,1
2013,12,*Em Branco,1
2013,16,*Em Branco,1
2013,19,*Em Branco,1
2013,20,*Em Branco,2
2013,20,C,1
2013,21,*Em Branco,2
2013,22,*Em Branco,1
2013,23,C,1
2013,26,*Em Branco,1
2013,27,*Em Branco,1
2013,28,W,1
2013,30,*Em Branco,2
2013,31,W,2
2013,31,*Em Branco,1
2013,31,C,1
2013,32,*Em Branco,1
2013,33,*Em Branco,1
2013,34,*Em Branco,1
2013,34,W,1
2013,36,C,1
2013,38,*Em Branco,2
2013,49,C,1
2013,50,*Em Branco,1
2013,50,B,1
2014,9,C,1
2014,12,C,1
2014,16,C,1
2014,22,C,1
2014,24,C,1
2014,26,*Em Branco,1
2014,28,*Em Branco,1
2014,29,*Em Branco,2
2014,29,C,1
2014,31,B,1
2014,32,*Em Branco,1
2014,40,C,1
2014,45,*Em Branco,1
2014,48,*Em Branco,2
2014,49,*Em Branco,2
2015,3,*Em Branco,1
2015,4,W,1
2015,13,A,1
2015,14,B,1
2015,15,*Em Branco,1
2015,18,*Em Branco,1
2015,27,*Em Branco,2
2015,30,*Em Branco,1
2015,35,W,1
2015,38,C,1
2015,40,*Em Branco,1
2015,41,*Em Branco,1
2015,44,*Em Branco,1
2015,46,C,1
2015,47,*Em Branco,1
2015,53,*Em Branco,1
2016,3,*Em Branco,1
2016,6,*Em Branco,1
2016,8,*Em Branco,1
2016,14,*Em Branco,1
2016,15,*Em Branco,1
2016,18,*Em Branco,1
2016,19,C,1
2016,29,C,1
2016,37,*Em Branco,1
2016,40,*Em Branco,1
2016,52,*Em Branco,1
2017,5,C,1
2017,9,C,1
2017,17,B,1
2017,20,*Em Branco,1
2017,22,C,1
2017,31,C,1
2017,33,*Em Branco,1
2017,33,C,1
2017,34,*Em Branco,1
2017,48,*Em Branco,1
2017,50,*Em Branco,1
2017,51,*Em Branco,1
2017,52,*Em Branco,2
2018,3,*Em Branco,1
2018,10,*Em Branco,1
2018,14,*Em Branco,1
2018,15,*Em Branco,1
2018,17,*Em Branco,1
2018,18,*Em Branco,1
2018,24,*Em Branco,1
2018,26,*Em Branco,1
2018,28,*Em Branco,1
2018,49,*Em Branco,1
2019,11,*Em Branco,1
2019,12,*Em Branco,1
2019,22,*Em Branco,2
2019,26,*Em Branco,1
2019,50,*Em Branco,1
2020,17,*Em Branco,1
2020,20,*Em Branco,1
2020,29,*Em Branco,1
2021,13,*Em Branco,1
2021,31,*Em Branco,1
2021,41,*Em Branco,1
2021,52,*Em Branco,1
2022,11,*Em Branco,1
2022,36,*Em Branco,1
2022,41,*Em Branco,1
2022,45,*Em Branco,1
2023,6,*Em Branco,1
2023,8,*Em Branco,2
2023,24,*Em Branco,1
2023,27,*Em Branco,1
2023,29,*Em Branco,1
2023,36,*Em Branco,1
2024,3,*Em Branco,1
2024,23,*Em Branco,1
2025,6,*Em Branco,1
2025,26,*Em Branco,1
2025,34,*Em Branco,1
2025,35,*Em Branco,1
2025,45,B,1
2025,50,*Em Branco,1
2026,16,B,2
2026,20,*Em Branco,1
