codigo_municipio_v17,municipio_v17,regional_v17,dm_lab_90d,dm_90d,pct_sorogrupo_dm_90d,pct_quimio_dm_90d,incidencia_dm_90d_100mil,score_risco_nt154_v25,score_risco_nt97_v25,prioridade,norma
510700,POXOREO,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510704,PRIMAVERA DO LESTE,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510706,QUERENCIA,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510710,SAO JOSE DOS QUATRO MARCOS,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510715,RESERVA DO CABACAL,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510718,RIBEIRAO CASCALHEIRA,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510719,RIBEIRAOZINHO,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510720,RIO BRANCO,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510724,SANTA CARMEM,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510726,SANTO AFONSO,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510729,SAO JOSE DO POVO,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510730,SAO JOSE DO RIO CLARO,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510735,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510740,SAO PEDRO DA CIPA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510760,RONDONOPOLIS,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510770,ROSARIO OESTE,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510774,SANTA CRUZ DO XINGU,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510775,SALTO DO CEU,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510776,SANTA RITA DO TRIVELATO,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510779,SANTO ANTONIO DO LESTE,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510780,SANTO ANTONIO DO LEVERGER,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510787,SAPEZAL,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510788,SERRA NOVA DOURADA,SAO FELIX DO ARAGUAIA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510790,SINOP,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510792,SORRISO,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510794,TABAPORA,JUARA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510795,TANGARA DA SERRA,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510800,TAPURAH,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510810,TESOURO,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510820,TORIXOREU,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510830,UNIAO DO SUL,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510835,VALE DE SAO DOMINGOS,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510840,VARZEA GRANDE,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510850,VERA,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510860,VILA RICA,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510880,NOVA GUARITA,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510885,NOVA MARILANDIA,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510890,NOVA MARINGA,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510895,NOVA MONTE VERDE,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
