codigo_municipio_v17,municipio_v17,regional_v17,total_notificacoes,pct_confirmacao_laboratorial_pcr_cultura,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,dm_casos,quimioprofilaxia_indevida_n
510562,MIRASSOL D OESTE,CACERES,36,14.285714285714285,88.88888888888889,86.11111111111111,,0,0
510590,NOBRES,DIAMANTINO,18,33.33333333333333,94.44444444444444,83.33333333333334,,0,0
510600,NORTELANDIA,DIAMANTINO,5,,100.0,100.0,,0,0
510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,10,100.0,60.0,60.0,,0,0
510615,NOVA BANDEIRANTES,ALTA FLORESTA,12,20.0,91.66666666666666,75.0,66.66666666666666,3,1
510617,NOVA NAZARE,AGUA BOA,4,0.0,25.0,25.0,0.0,1,0
510618,NOVA LACERDA,PONTES E LACERDA,12,50.0,91.66666666666666,91.66666666666666,,0,0
510619,NOVA SANTA HELENA,COLIDER,6,,100.0,100.0,,0,0
510620,NOVA BRASILANDIA,CUIABA,5,100.0,100.0,80.0,,0,0
510621,NOVA CANAA DO NORTE,COLIDER,7,,85.71428571428571,71.42857142857143,,0,0
510622,NOVA MUTUM,SINOP,41,36.36363636363637,92.6829268292683,90.2439024390244,50.0,4,1
510623,NOVA OLIMPIA,TANGARA DA SERRA,15,,100.0,80.0,,0,1
510624,NOVA UBIRATA,SINOP,10,0.0,90.0,90.0,,0,0
510625,NOVA XAVANTINA,BARRA DO GARCAS,21,40.0,95.23809523809523,76.19047619047619,33.33333333333333,3,0
510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,6,0.0,83.33333333333334,66.66666666666666,,0,0
510627,NOVO HORIZONTE DO NORTE,JUARA,4,,100.0,100.0,,0,0
510628,NOVO SAO JOAQUIM,BARRA DO GARCAS,4,,75.0,75.0,,0,0
510629,PARANAITA,ALTA FLORESTA,25,50.0,88.0,60.0,100.0,1,0
510630,PARANATINGA,RONDONOPOLIS,30,77.77777777777779,93.33333333333333,83.33333333333334,50.0,2,0
510631,NOVO SANTO ANTONIO,SAO FELIX DO ARAGUAIA,3,,66.66666666666666,33.33333333333333,,0,0
510637,PEDRA PRETA,RONDONOPOLIS,29,33.33333333333333,82.75862068965517,65.51724137931035,33.33333333333333,3,1
510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,28,0.0,89.28571428571429,67.85714285714286,,0,0
510645,PLANALTO DA SERRA,CUIABA,3,0.0,100.0,66.66666666666666,,0,0
510650,POCONE,CUIABA,60,37.5,83.33333333333334,78.33333333333333,,0,0
510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,7,0.0,85.71428571428571,100.0,0.0,1,0
