variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica,grupo_analise
SinaisESintomasVomitos_bin_v17,SinaisESintomasVomitos,Óbito por meningite,5315,260,3214,104,1737,1.3511200995644057,1.0683932383086205,1.7086644299031035,0.011974750816046625,p=0.0120: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasConvulsoes_bin_v17,SinaisESintomasConvulsoes,Óbito por meningite,5190,138,1151,224,3677,1.9681100285466053,1.5759841739899243,2.4578020188231178,7.03840682460249e-09,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasRigidezNuca_bin_v17,SinaisESintomasRigidezNuca,Óbito por meningite,5167,166,2250,179,2572,1.0600918684047176,0.8518991652406184,1.319164069306712,0.6154607255280702,p=0.6155: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasKernigBrudzinski_bin_v17,SinaisESintomasKernigBrudzinski,Óbito por meningite,4893,26,319,297,4251,1.1665875051454988,0.7690399725750365,1.7696432639316562,0.43273491418470283,p=0.4327: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasAbaulamentoFontanela_bin_v17,SinaisESintomasAbaulamentoFontanela,Óbito por meningite,5116,25,270,327,4494,1.272511043153245,0.8320565508664498,1.9461229567398295,0.2847398124175894,p=0.2847: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasComa_bin_v17,SinaisESintomasComa,Óbito por meningite,5115,96,257,251,4511,6.71331793448773,5.141822096982193,8.765110274034186,2.9790232963296844e-36,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasPetequiasSufusoesHemorragicas_bin_v17,SinaisESintomasPetequiasSufusoesHemorragicas,Óbito por meningite,5096,74,263,277,4482,4.552689736585633,3.4235610494397606,6.054217681032439,7.07462052489564e-21,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasOutros_bin_v17,SinaisESintomasOutros,Óbito por meningite,4572,155,1257,166,2994,2.224027374414124,1.769509182477381,2.7952936391199588,1.8080250730129902e-11,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesAIDS_bin_v17,DoencasPreexistentesAIDS,Hospitalização,4629,356,8,4119,146,1.5773245933478999,0.7678537595761129,3.2401389480121456,0.28417770623873095,p=0.2842: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesImunodepressoras_bin_v17,DoencasPreexistentesImunodepressoras,Hospitalização,4598,78,2,4364,154,1.3762603116406966,0.3350802516441147,5.652653166230291,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
