semana_epi_v17,classificacao_agrupada_v17,minimo,q25,media,mediana,q75,maximo,p95,observado,ano_observado
11,Outras etiologias,1,2.0,2.9411764705882355,2.0,5.0,6,5.199999999999999,2.0,2026
12,Doença meningocócica,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
12,Meningite bacteriana/outras bactérias,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2026
12,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
12,Meningite não especificada,1,1.0,2.6,2.0,3.75,6,5.549999999999999,1.0,2026
12,Meningite pneumocócica,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,2.0,2026
12,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
12,Meningite viral/asséptica,1,1.0,1.8461538461538463,2.0,2.0,4,3.3999999999999986,0.0,2026
12,Outras etiologias,1,2.0,3.2941176470588234,3.0,4.0,8,6.399999999999999,1.0,2026
13,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
13,Meningite bacteriana/outras bactérias,1,1.0,1.5555555555555556,1.0,2.0,4,3.1999999999999993,0.0,2026
13,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
13,Meningite não especificada,1,1.0,1.7692307692307692,1.0,2.0,4,4.0,0.0,2026
13,Meningite pneumocócica,1,1.0,1.3333333333333333,1.0,1.5,2,1.9,0.0,2026
13,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
13,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
13,Meningite viral/asséptica,1,1.0,2.3333333333333335,1.0,3.0,7,5.799999999999999,0.0,2026
13,Outras etiologias,1,2.0,3.5,2.5,5.0,8,7.149999999999999,7.0,2026
14,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
14,Meningite bacteriana/outras bactérias,1,1.0,1.5,1.0,1.75,3,2.75,1.0,2026
14,Meningite fúngica,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
14,Meningite não especificada,1,1.0,1.4375,1.0,1.25,4,3.25,1.0,2026
14,Meningite pneumocócica,2,2.0,2.0,2.0,2.0,2,2.0,0.0,2026
14,Meningite por Hib/Hemófilo,2,2.0,2.0,2.0,2.0,2,2.0,0.0,2026
14,Meningite viral/asséptica,1,1.0,1.8571428571428572,1.0,1.5,6,4.799999999999997,0.0,2026
14,Outras etiologias,1,2.0,3.588235294117647,2.0,4.0,13,10.599999999999998,2.0,2026
15,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
15,Meningite bacteriana/outras bactérias,1,1.0,1.0833333333333333,1.0,1.0,2,1.4499999999999993,1.0,2026
15,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
15,Meningite não especificada,1,1.0,2.25,2.0,2.25,7,5.349999999999998,1.0,2026
15,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
15,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
15,Meningite viral/asséptica,1,1.0,2.5,1.5,2.25,9,6.899999999999997,1.0,2026
15,Outras etiologias,1,2.0,3.5789473684210527,3.0,4.0,19,7.299999999999972,1.0,2026
16,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2026
16,Meningite bacteriana/outras bactérias,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
16,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
16,Meningite não especificada,1,1.0,1.5,1.0,2.0,3,3.0,0.0,2026
16,Meningite pneumocócica,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,1.0,2026
16,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
16,Meningite viral/asséptica,1,1.0,1.9,1.0,2.0,7,4.749999999999995,0.0,2026
16,Outras etiologias,1,1.25,3.0,3.0,3.0,11,5.8999999999999915,5.0,2026
17,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
17,Meningite bacteriana/outras bactérias,1,1.0,1.1111111111111112,1.0,1.0,2,1.5999999999999996,2.0,2026
17,Meningite fúngica,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
17,Meningite não especificada,1,1.0,1.5833333333333333,1.5,2.0,3,2.4499999999999993,3.0,2026
17,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
17,Meningite viral/asséptica,1,1.0,2.25,1.0,1.25,10,7.199999999999996,1.0,2026
17,Outras etiologias,1,2.0,3.235294117647059,3.0,3.0,9,6.599999999999998,4.0,2026
18,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
18,Meningite bacteriana/outras bactérias,1,1.0,1.25,1.0,1.25,2,2.0,0.0,2026
18,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2026
18,Meningite não especificada,1,1.0,1.6666666666666667,1.0,2.0,4,3.4499999999999993,3.0,2026
18,Meningite pneumocócica,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,3.0,2026
18,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
18,Meningite viral/asséptica,1,1.0,2.090909090909091,2.0,2.5,5,4.5,0.0,2026
18,Outras etiologias,1,1.0,2.888888888888889,3.0,3.0,7,6.149999999999999,9.0,2026
