estrato,ano_epi_v17,semana_epi_v17,periodo,observado,atraso_semanas_proxy,prob_ja_notificado,nowcast,nowcast_p10,nowcast_p90,incremento_estimado,metodo_atraso
REGIONAL::JUINA,2026,29,2026-S29,0.0,1,0.8191489361702128,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,2026,30,2026-S30,0.0,0,0.3617021276595745,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,2026,31,2026-S31,0.0,0,0.3617021276595745,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,26,2026-S26,0.0,4,0.9647887323943662,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,27,2026-S27,0.0,3,0.9647887323943662,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,28,2026-S28,0.0,2,0.9436619718309859,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,29,2026-S29,0.0,1,0.852112676056338,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,30,2026-S30,0.0,0,0.49295774647887325,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,2026,31,2026-S31,0.0,0,0.49295774647887325,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,26,2026-S26,1.0,4,0.9444444444444444,1.0588235294117647,1.0318471337579618,1.087248322147651,0.05882352941176472,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,27,2026-S27,0.0,3,0.9135802469135802,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,28,2026-S28,0.0,2,0.8950617283950617,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,29,2026-S29,0.0,1,0.7530864197530864,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,30,2026-S30,0.0,0,0.3148148148148148,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,2026,31,2026-S31,0.0,0,0.3148148148148148,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,26,2026-S26,0.0,4,0.9193548387096774,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,27,2026-S27,0.0,3,0.9193548387096774,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,28,2026-S28,0.0,2,0.8870967741935484,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,29,2026-S29,0.0,1,0.7741935483870968,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,30,2026-S30,0.0,0,0.3870967741935484,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,2026,31,2026-S31,0.0,0,0.3870967741935484,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,26,2026-S26,0.0,4,0.9739229024943311,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,27,2026-S27,0.0,3,0.9591836734693877,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,28,2026-S28,0.0,2,0.9285714285714286,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,29,2026-S29,0.0,1,0.8480725623582767,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,30,2026-S30,0.0,0,0.3968253968253968,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,2026,31,2026-S31,0.0,0,0.3968253968253968,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,26,2026-S26,0.0,4,0.9770531400966184,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,27,2026-S27,1.0,3,0.9722222222222222,1.0285714285714287,1.0209617755856966,1.0350000000000001,0.028571428571428692,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,28,2026-S28,0.0,2,0.9492753623188406,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,29,2026-S29,0.0,1,0.8743961352657005,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,30,2026-S30,0.0,0,0.46256038647342995,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,2026,31,2026-S31,0.0,0,0.46256038647342995,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,26,2026-S26,0.0,4,0.9796511627906976,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,27,2026-S27,0.0,3,0.9709302325581395,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,28,2026-S28,0.0,2,0.9563953488372093,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,29,2026-S29,0.0,1,0.8982558139534884,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,30,2026-S30,0.0,0,0.5494186046511628,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,2026,31,2026-S31,0.0,0,0.5494186046511628,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
