codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,hospitalizacoes,obitos_meningite,com_resultado_laboratorial,com_resultado_concludente,positivos_laboratoriais,taxa_uso_laboratorio_pct,taxa_positividade_real_pct,lat,lon,distancia_cuiaba_km
510530,LUCIARA,SAO FELIX DO ARAGUAIA,1,0,0,0,0,0,0,0.0,,-15.295,-58.0101,207.8447965030968
510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,16,12,14,2,2,2,2,12.5,100.0,-13.0503,-55.9103,284.33712229623086
510558,MARCELANDIA,COLIDER,26,10,22,0,1,1,0,3.8461538461538463,0.0,-10.7516,-50.5694,805.3930385053153
510560,MATUPA,PEIXOTO DE AZEVEDO,9,6,9,0,2,2,2,22.22222222222222,100.0,,,
510562,MIRASSOL D OESTE,CACERES,36,29,31,0,9,9,9,25.0,100.0,-10.057,-54.9357,629.1796175295883
510590,NOBRES,DIAMANTINO,18,14,18,3,3,3,3,16.666666666666664,100.0,,,
510600,NORTELANDIA,DIAMANTINO,5,2,5,0,1,1,1,20.0,100.0,-14.7208,-56.3283,100.972784375412
510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,10,4,5,1,0,0,0,0.0,,-14.4173,-56.8048,151.99604431402832
510615,NOVA BANDEIRANTES,ALTA FLORESTA,12,8,11,5,2,2,1,16.666666666666664,50.0,-15.7674,-56.3458,32.43129708149465
510617,NOVA NAZARE,AGUA BOA,4,1,1,0,0,0,0,0.0,,-9.84537,-57.8041,666.2182773451651
510618,NOVA LACERDA,PONTES E LACERDA,12,11,12,2,1,1,1,8.333333333333332,100.0,-10.3015,-55.4383,593.5815035126083
510619,NOVA SANTA HELENA,COLIDER,6,0,6,0,1,1,1,16.666666666666664,100.0,-14.481,-59.593,395.526432933882
510620,NOVA BRASILANDIA,CUIABA,5,3,5,1,2,2,2,40.0,100.0,-14.9575,-55.9731,72.77767113335393
510621,NOVA CANAA DO NORTE,COLIDER,7,0,5,0,0,0,0,0.0,,-10.6865,-55.9574,546.6763462692254
510622,NOVA MUTUM,SINOP,41,26,40,6,11,11,8,26.82926829268293,72.72727272727273,-14.6738,-56.5753,115.17480026898876
510623,NOVA OLIMPIA,TANGARA DA SERRA,15,3,15,0,1,1,1,6.666666666666667,100.0,-13.0039,-57.0601,306.85977019081236
510624,NOVA UBIRATA,SINOP,10,7,9,0,1,1,1,10.0,100.0,-9.96781,-57.5258,645.2422774390011
510625,NOVA XAVANTINA,BARRA DO GARCAS,21,15,19,2,2,2,2,9.523809523809524,100.0,-13.8291,-56.0759,197.03935698416694
510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,6,3,5,0,2,2,2,33.33333333333333,100.0,-14.7967,-57.2882,156.00204131893662
510627,NOVO HORIZONTE DO NORTE,JUARA,4,1,4,1,1,1,1,25.0,100.0,-10.8652,-55.3343,533.0247329717032
510628,NOVO SAO JOAQUIM,BARRA DO GARCAS,4,1,3,0,0,0,0,0.0,,-12.9868,-55.2536,304.5577170399079
510629,PARANAITA,ALTA FLORESTA,25,12,21,1,9,9,5,36.0,55.55555555555556,-14.6735,-52.3524,414.9442180423267
510630,PARANATINGA,RONDONOPOLIS,30,24,28,2,11,11,9,36.666666666666664,81.81818181818183,-11.4116,-57.3486,485.08715102965834
510631,NOVO SANTO ANTONIO,SAO FELIX DO ARAGUAIA,3,0,0,0,0,0,0,0.0,,-9.92348,-55.1979,638.7898241444492
510637,PEDRA PRETA,RONDONOPOLIS,29,19,23,6,12,12,10,41.37931034482759,83.33333333333334,-12.597,-51.3411,612.0156088766714
510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,28,11,25,2,2,2,2,7.142857142857142,100.0,-14.9084,-53.0185,339.1081143625812
510645,PLANALTO DA SERRA,CUIABA,3,1,2,0,0,0,0,0.0,,-9.6644,-56.478,661.4116437415473
510650,POCONE,CUIABA,60,24,44,3,8,8,7,13.333333333333334,87.5,-14.4307,-54.0494,255.52194976263792
510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,7,5,6,1,1,1,1,14.285714285714285,100.0,-16.6212,-54.4754,207.06771084293734
510670,PONTE BRANCA,BARRA DO GARCAS,1,1,1,1,0,0,0,0.0,,-10.2223,-54.9789,610.2274908340839
510675,PONTES E LACERDA,PONTES E LACERDA,94,64,77,5,28,28,28,29.78723404255319,100.0,-14.6543,-55.2818,136.88788393118293
510677,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,3,3,3,1,0,0,0,0.0,,-16.2568,-56.6225,92.05843634106132
510680,PORTO DOS GAUCHOS,JUARA,5,2,2,0,1,1,0,20.0,0.0,-15.8361,-52.0122,437.9971344570572
510682,PORTO ESPERIDIAO,CACERES,16,14,16,1,3,3,3,18.75,100.0,-16.7624,-52.8338,371.6254077242175
510685,PORTO ESTRELA,TANGARA DA SERRA,6,3,5,0,0,0,0,0.0,,,,
510700,POXOREO,RONDONOPOLIS,25,20,24,4,10,10,9,40.0,90.0,-15.3283,-57.2185,123.95599516488215
510704,PRIMAVERA DO LESTE,RONDONOPOLIS,99,76,93,6,19,19,14,19.19191919191919,73.68421052631578,-15.8361,-54.3879,184.79418167453457
510706,QUERENCIA,AGUA BOA,12,3,9,1,1,1,1,8.333333333333332,100.0,-15.559,-54.2954,193.02390174499263
510710,SAO JOSE DOS QUATRO MARCOS,CACERES,19,12,18,1,3,3,3,15.789473684210526,100.0,-12.597,-52.1226,543.3569717597532
510715,RESERVA DO CABACAL,CACERES,3,3,3,1,0,0,0,0.0,,-15.083,-58.4682,260.709344451959
510718,RIBEIRAO CASCALHEIRA,AGUA BOA,8,4,6,0,2,2,2,25.0,100.0,-12.9329,-51.8219,547.9221774398295
510719,RIBEIRAOZINHO,BARRA DO GARCAS,1,0,1,0,0,0,0,0.0,,-16.518,-52.6865,378.41813868889824
510720,RIO BRANCO,CACERES,6,6,6,0,2,2,2,33.33333333333333,100.0,-15.2559,-58.1147,219.64965493974665
510724,SANTA CARMEM,SINOP,14,10,13,1,3,3,1,21.428571428571427,33.33333333333333,-11.9169,-55.2471,419.80738841365434
510726,SANTO AFONSO,TANGARA DA SERRA,4,2,3,0,1,1,0,25.0,0.0,-14.6293,-57.1724,158.11654380448695
510729,SAO JOSE DO POVO,RONDONOPOLIS,5,4,5,1,3,3,2,60.0,66.66666666666666,-16.4447,-54.2755,216.09679967118439
510730,SAO JOSE DO RIO CLARO,DIAMANTINO,21,12,20,2,3,3,3,14.285714285714285,100.0,-13.9472,-56.721,195.74977841847138
510735,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,7,2,6,0,1,1,1,14.285714285714285,100.0,-10.916,-52.3789,658.1912459196247
510740,SAO PEDRO DA CIPA,RONDONOPOLIS,11,8,9,1,4,4,2,36.36363636363637,50.0,-15.6267,-58.1754,222.59655539313133
510760,RONDONOPOLIS,RONDONOPOLIS,485,385,453,26,130,130,107,26.804123711340207,82.3076923076923,-16.4705,-54.6356,183.68031632846836
510770,ROSARIO OESTE,DIAMANTINO,16,6,15,1,2,2,2,12.5,100.0,-14.8361,-56.4277,92.15750605239663
510774,SANTA CRUZ DO XINGU,PORTO ALEGRE DO NORTE,2,1,1,0,0,0,0,0.0,,-11.0827,-51.9868,670.8577534878717
510775,SALTO DO CEU,CACERES,1,1,1,0,0,0,0,0.0,,-15.1384,-58.1364,224.62801595116963
510776,SANTA RITA DO TRIVELATO,SINOP,1,0,1,0,0,0,0,0.0,,-13.8055,-55.263,218.8733910806132
510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,3,1,3,0,0,0,0,0.0,,-10.4681,-50.5137,831.4378666974401
510779,SANTO ANTONIO DO LESTE,RONDONOPOLIS,2,2,2,1,0,0,0,0.0,,-14.8193,-53.6166,279.97687584384266
510780,SANTO ANTONIO DO LEVERGER,CUIABA,42,21,32,3,5,5,5,11.904761904761903,100.0,-15.8656,-56.0772,29.498396869417682
510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,4,0,3,0,0,0,0,0.0,,-11.615,-50.6698,735.0470065833559
510787,SAPEZAL,TANGARA DA SERRA,51,28,41,8,5,5,5,9.803921568627452,100.0,-15.9529,-54.9124,132.66089724308614
510788,SERRA NOVA DOURADA,SAO FELIX DO ARAGUAIA,1,0,1,0,0,0,0,0.0,,-13.5414,-58.8344,373.12539093818026
510790,SINOP,SINOP,479,317,460,23,58,58,34,12.10855949895616,58.620689655172406,-12.1158,-51.4646,632.6062931175657
510792,SORRISO,SINOP,132,110,125,16,32,32,14,24.242424242424242,43.75,-11.8601,-55.503,420.88640062613666
510794,TABAPORA,JUARA,5,1,5,1,1,1,1,20.0,100.0,-12.5447,-55.7135,342.35231942764017
510795,TANGARA DA SERRA,TANGARA DA SERRA,170,46,168,4,12,12,8,7.0588235294117645,66.66666666666666,-11.2891,-56.848,486.28805036879174
510800,TAPURAH,SINOP,15,12,14,2,4,4,2,26.666666666666668,50.0,-14.6193,-57.4891,185.06293121459197
510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,10,6,8,2,2,2,2,20.0,100.0,-12.7505,-56.5412,320.55752919561223
510810,TESOURO,RONDONOPOLIS,4,4,4,1,1,1,1,25.0,100.0,-10.5097,-55.234,573.7869423957814
510820,TORIXOREU,BARRA DO GARCAS,3,1,3,1,0,0,0,0.0,,-16.0825,-53.5484,277.8329313639531
510830,UNIAO DO SUL,SINOP,3,1,2,0,2,2,1,66.66666666666666,50.0,-16.2081,-52.5552,384.71646501325296
510835,VALE DE SAO DOMINGOS,PONTES E LACERDA,3,1,3,0,0,0,0,0.0,,-11.4988,-54.3435,493.94276371553923
510840,VARZEA GRANDE,CUIABA,686,321,606,32,166,166,151,24.198250728862973,90.96385542168674,-15.3093,-59.3517,350.3203794365871
510850,VERA,SINOP,18,13,17,2,6,6,3,33.33333333333333,50.0,-12.3039,-55.3129,376.2555657744113
510860,VILA RICA,PORTO ALEGRE DO NORTE,17,4,12,1,2,2,2,11.76470588235294,100.0,-10.0125,-51.1158,823.1594198344386
510880,NOVA GUARITA,COLIDER,3,1,2,0,0,0,0,0.0,,,,
510885,NOVA MARILANDIA,TANGARA DA SERRA,5,2,4,2,1,1,1,20.0,100.0,,,
510890,NOVA MARINGA,DIAMANTINO,6,3,6,0,1,1,0,16.666666666666664,0.0,,,
510895,NOVA MONTE VERDE,ALTA FLORESTA,11,10,11,0,1,1,0,9.090909090909092,0.0,,,
