arquivo,modulo_origem,gerado_em,idade_horas,linhas,status,execucao_status,execucao_obrigatorio,execucao_duracao_s,execucao_erro,limiar_fresco_horas,verificado_em
nowcast_atraso_notificacao_cdf_v23.csv,desconhecido,2026-07-29T12:37:32,0.0,61.0,fresco,,,,,48.0,2026-07-29T12:37:50
nowcast_atraso_semanas_cdf_v24.csv,desconhecido,2026-07-29T12:37:34,0.0,13.0,fresco,,,,,48.0,2026-07-29T12:37:50
nowcast_forecast_resumo_v23.csv,22_nowcast_forecast_refinado_v23.py,2026-07-29T12:37:32,0.01,1.0,fresco,ok,False,0.92,,48.0,2026-07-29T12:37:50
nowcast_operacional_resumo_v24.csv,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,17.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
nowcast_regionais_ranking_v24.csv,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,15.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
nowcast_serie_semanal_casos_v23.csv,22_nowcast_forecast_refinado_v23.py,2026-07-29T12:37:32,0.0,1001.0,fresco,ok,False,0.92,,48.0,2026-07-29T12:37:50
nowcast_serie_semanal_v24.csv,desconhecido,2026-07-29T12:37:36,0.0,17271.0,fresco,,,,,48.0,2026-07-29T12:37:50
nowcasting_atraso_corrigido_v23.csv,desconhecido,2026-07-29T12:37:32,0.0,4.0,fresco,,,,,48.0,2026-07-29T12:37:50
nowcasting_desfechos_v21.csv,04b_nowcasting_desfechos_v21.py,2026-07-27T11:37:49,49.0,3.0,atrasado,,,,,48.0,2026-07-29T12:37:50
nowcasting_operacional_v24.csv,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,102.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
nowcasting_v17.csv,04_nowcasting_forecasting_meningites_v17.py,2026-07-27T11:37:48,49.0,1.0,atrasado,,,,,48.0,2026-07-29T12:37:50
odds_classificacao_desfechos_v20.csv,02b_odds_classificacao_desfechos_v20.py,2026-07-29T12:37:26,0.01,36.0,fresco,ok,False,2.41,,48.0,2026-07-29T12:37:50
odds_ratio_clinico_socio_comorb_v21.csv,02c_odds_clinico_socio_comorb_v21.py,2026-07-29T12:37:30,0.01,270.0,fresco,ok,False,4.09,,48.0,2026-07-29T12:37:50
odds_ratios_clinicos_classificacao_v17.csv,02_estatisticas_or_meningites_v17.py,2026-07-27T11:36:54,49.02,78.0,atrasado,,,,,48.0,2026-07-29T12:37:50
oportunidade_coleta_liquor_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:44,0.0,45.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
oportunidade_deteccao_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:45,0.0,179.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
painel_epi_bacterianas_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,91.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_etiologia_ano_v23.csv,14_painel_epidemiologico_ms_v23.py,2026-07-29T12:34:49,0.05,176.0,fresco,ok,True,1.65,,48.0,2026-07-29T12:37:50
painel_epi_etiologia_faixa_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,1029.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_faixa_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,207.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_grupo_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,106.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_meta_v23.csv,14_painel_epidemiologico_ms_v23.py,2026-07-29T12:34:49,0.05,1.0,fresco,ok,True,1.65,,48.0,2026-07-29T12:37:50
painel_epi_municipio_ano_v23.csv,14_painel_epidemiologico_ms_v23.py,2026-07-29T12:34:49,0.05,849.0,fresco,ok,True,1.65,,48.0,2026-07-29T12:37:50
painel_epi_populacao_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,28.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_resumo_ano_v23.csv,14_painel_epidemiologico_ms_v23.py,2026-07-29T12:34:49,0.05,24.0,fresco,ok,True,1.65,,48.0,2026-07-29T12:37:50
painel_epi_sexo_ano_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,46.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_snapshot_bacterianas_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,5.0,fresco,,,,,48.0,2026-07-29T12:37:50
painel_epi_snapshot_etiologia_v23.csv,14_painel_epidemiologico_ms_v23.py,2026-07-29T12:34:49,0.05,9.0,fresco,ok,True,1.65,,48.0,2026-07-29T12:37:50
painel_epi_snapshot_faixa_v23.csv,desconhecido,2026-07-29T12:34:49,0.05,10.0,fresco,,,,,48.0,2026-07-29T12:37:50
pares_nao_aplicaveis_vacina_etiologia_v17.csv,desconhecido,2026-07-27T11:38:02,49.0,919.0,atrasado,,,,,48.0,2026-07-29T12:37:50
pipeline_execucao_v28.json,pipeline_meningites_v23_indicadores_ms.py,2026-07-29T12:37:49,0.0,,fresco,,,,,48.0,2026-07-29T12:37:50
procedencia_artefatos_v28.csv,29_procedencia_artefatos_v28.py,2026-07-29T12:00:46,0.62,193.0,fresco,,,,,48.0,2026-07-29T12:37:50
qualidade_score_resumo_v20.csv,11_qualidade_score_v20.py,2026-07-29T12:34:50,0.05,1.0,fresco,ok,False,1.02,,48.0,2026-07-29T12:37:50
qualidade_score_v20.csv,11_qualidade_score_v20.py,2026-07-29T12:34:50,0.05,10.0,fresco,ok,False,1.02,,48.0,2026-07-29T12:37:50
ranking_risco_territorial_v17.csv,05_geoespacial_moran_distancia_laboratorio_v20.py,2026-07-27T11:37:50,49.0,49.0,atrasado,,,,,48.0,2026-07-29T12:37:50
relatorios/ALERTAS_PERSONALIZADOS_V23.md,desconhecido,2026-07-29T12:37:42,0.0,67.0,fresco,,,,,48.0,2026-07-29T12:37:50
relatorios/ANALISE_SINAN_MENINGITES_DW_V23.md,desconhecido,2026-07-27T11:53:06,48.75,30.0,atrasado,,,,,48.0,2026-07-29T12:37:50
relatorios/BASE_UNICA_FONTE_DW_V23.md,desconhecido,2026-07-27T11:36:52,49.02,22.0,atrasado,,,,,48.0,2026-07-29T12:37:50
relatorios/BOLETIM_CIEVS_MENINGITES_ENVIO_V25.md,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,53.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
relatorios/BOLETIM_SEMANAL_MENINGITES_V23_NARRATIVA_IA.md,desconhecido,2026-07-29T12:35:18,0.04,60.0,fresco,,,,,48.0,2026-07-29T12:37:50
relatorios/BOLETIM_SEMANAL_MENINGITES_V23_RASCUNHO.md,15_boletim_semanal_rascunho_v23.py,2026-07-29T12:34:51,0.05,93.0,fresco,ok,False,0.86,,48.0,2026-07-29T12:37:50
relatorios/DW_EXTRACAO_MENINGITES_V23.md,desconhecido,2026-07-27T11:38:45,48.98,24.0,atrasado,,,,,48.0,2026-07-29T12:37:50
relatorios/FILA_CIEVS_UNIFICADA_V23.md,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,50.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
relatorios/INDICADORES_NOVOS_V28.md,28_indicadores_novos_v28.py,2026-07-29T12:37:49,0.0,79.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
relatorios/INTERPRETACAO_ODDS_RATIO_EFETIVIDADE_VACINAL_V13_1.md,desconhecido,2026-04-29T09:29:48,2187.13,47.0,atrasado,,,,,48.0,2026-07-29T12:37:50
relatorios/LINKAGE_GAL_LACEN_SIM_V23.md,17_linkage_gal_lacen_sim_v23.py,2026-07-29T12:37:21,0.01,28.0,fresco,ok,False,76.26,,48.0,2026-07-29T12:37:50
relatorios/NARRATIVA_ALERTAS_SAZONALIDADE_V23.md,desconhecido,2026-07-29T12:37:42,0.0,38.0,fresco,,,,,48.0,2026-07-29T12:37:50
relatorios/NOWCAST_FORECAST_REFINADO_V23.md,desconhecido,2026-07-29T12:37:32,0.0,20.0,fresco,,,,,48.0,2026-07-29T12:37:50
relatorios/NOWCAST_OPERACIONAL_GESTAO_V24.md,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,42.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
relatorios/RELATORIO_TECNICO_MENINGITES_CIEVS_MT_PADRAO_SRAG.md,desconhecido,2026-04-28T14:35:06,2206.05,34.0,atrasado,,,,,48.0,2026-07-29T12:37:50
