ano_evento_v17,classificacao_agrupada_v17,faixa_informe_v23,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2007,Meningite viral/asséptica,< 1 ano,15,15,0,2334495.0,municipal_soma_com_carry,2334495.0,0.6425372510971324,0.0,0.0
2007,Meningite viral/asséptica,> 60 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2007,Outras etiologias,1 a 4 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Outras etiologias,20 a 29 anos,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2007,Outras etiologias,30 a 39 anos,1,1,1,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.042835816739808824,100.0
2007,Outras etiologias,40 a 49 anos,1,1,1,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.042835816739808824,100.0
2007,Outras etiologias,5 a 9 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2007,Outras etiologias,< 1 ano,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Doença meningocócica,1 a 4 anos,4,4,3,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.12850745021942647,75.0
2008,Doença meningocócica,5 a 9 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Doença meningocócica,< 1 ano,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2008,Meningite bacteriana/outras bactérias,1 a 4 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite bacteriana/outras bactérias,10 a 14 anos,8,8,0,2334495.0,municipal_soma_com_carry,2334495.0,0.3426865339184706,0.0,0.0
2008,Meningite bacteriana/outras bactérias,15 a 19 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite bacteriana/outras bactérias,20 a 29 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite bacteriana/outras bactérias,30 a 39 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2008,Meningite bacteriana/outras bactérias,40 a 49 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite bacteriana/outras bactérias,5 a 9 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite bacteriana/outras bactérias,50 a 59 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2008,Meningite bacteriana/outras bactérias,< 1 ano,9,9,0,2334495.0,municipal_soma_com_carry,2334495.0,0.38552235065827944,0.0,0.0
2008,Meningite bacteriana/outras bactérias,> 60 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2008,Meningite fúngica,15 a 19 anos,1,1,1,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.042835816739808824,100.0
2008,Meningite fúngica,20 a 29 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite fúngica,30 a 39 anos,7,7,0,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.0,0.0
2008,Meningite fúngica,40 a 49 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2008,Meningite fúngica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite não especificada,1 a 4 anos,29,29,0,2334495.0,municipal_soma_com_carry,2334495.0,1.2422386854544558,0.0,0.0
2008,Meningite não especificada,10 a 14 anos,12,12,0,2334495.0,municipal_soma_com_carry,2334495.0,0.5140298008777059,0.0,0.0
2008,Meningite não especificada,15 a 19 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2008,Meningite não especificada,20 a 29 anos,6,6,1,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.042835816739808824,16.666666666666664
2008,Meningite não especificada,30 a 39 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2008,Meningite não especificada,40 a 49 anos,3,3,1,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.042835816739808824,33.33333333333333
2008,Meningite não especificada,5 a 9 anos,16,16,0,2334495.0,municipal_soma_com_carry,2334495.0,0.6853730678369412,0.0,0.0
2008,Meningite não especificada,< 1 ano,25,25,2,2334495.0,municipal_soma_com_carry,2334495.0,1.0708954184952206,0.08567163347961765,8.0
2008,Meningite não especificada,> 60 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite pneumocócica,1 a 4 anos,4,4,3,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.12850745021942647,75.0
2008,Meningite pneumocócica,10 a 14 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2008,Meningite pneumocócica,15 a 19 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite pneumocócica,20 a 29 anos,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2008,Meningite pneumocócica,30 a 39 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite pneumocócica,40 a 49 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite pneumocócica,5 a 9 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite pneumocócica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite pneumocócica,< 1 ano,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite por Hib/Hemófilo,15 a 19 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite tuberculosa,30 a 39 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Meningite viral/asséptica,1 a 4 anos,21,21,0,2334495.0,municipal_soma_com_carry,2334495.0,0.8995521515359852,0.0,0.0
2008,Meningite viral/asséptica,10 a 14 anos,7,7,0,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.0,0.0
2008,Meningite viral/asséptica,15 a 19 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite viral/asséptica,20 a 29 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2008,Meningite viral/asséptica,30 a 39 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2008,Meningite viral/asséptica,40 a 49 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite viral/asséptica,5 a 9 anos,21,21,0,2334495.0,municipal_soma_com_carry,2334495.0,0.8995521515359852,0.0,0.0
2008,Meningite viral/asséptica,50 a 59 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2008,Meningite viral/asséptica,< 1 ano,15,15,0,2334495.0,municipal_soma_com_carry,2334495.0,0.6425372510971324,0.0,0.0
