ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2017,510885,NOVA MARILANDIA,TANGARA DA SERRA,1,1,1,2334495.0,municipal_soma_com_carry,3678.0,3678.0,27.188689505165847,27.188689505165847,100.0
2018,510025,ALTA FLORESTA,ALTA FLORESTA,1,1,0,2334495.0,municipal_soma_com_carry,51959.0,51959.0,1.9245943917319426,0.0,0.0
2018,510080,APIACAS,ALTA FLORESTA,1,1,0,2334495.0,municipal_soma_com_carry,10283.0,10283.0,9.724788485850432,0.0,0.0
2018,510170,BARRA DO BUGRES,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,35307.0,35307.0,2.8322995439997736,0.0,0.0
2018,510180,BARRA DO GARCAS,BARRA DO GARCAS,8,8,1,2334495.0,municipal_soma_com_carry,61135.0,61135.0,13.08579373517625,1.6357242168970312,12.5
2018,510250,CACERES,CACERES,9,9,2,2334495.0,municipal_soma_com_carry,95339.0,95339.0,9.439998321778077,2.0977774048395723,22.22222222222222
2018,510267,CAMPO VERDE,RONDONOPOLIS,4,4,1,2334495.0,municipal_soma_com_carry,45740.0,45740.0,8.745080891998251,2.1862702229995628,25.0
2018,510300,CHAPADA DOS GUIMARAES,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,19453.0,19453.0,5.140595280933533,0.0,0.0
2018,510325,COLNIZA,JUINA,1,1,1,2334495.0,municipal_soma_com_carry,25766.0,25766.0,3.8810835985407124,3.8810835985407124,100.0
2018,510340,CUIABA,CUIABA,35,35,2,2334495.0,municipal_soma_com_carry,618124.0,618124.0,5.6622942969371834,0.32355967411069625,5.714285714285714
2018,510350,DIAMANTINO,DIAMANTINO,2,2,0,2334495.0,municipal_soma_com_carry,22178.0,22178.0,9.017945711966815,0.0,0.0
2018,510480,JACIARA,RONDONOPOLIS,6,6,0,2334495.0,municipal_soma_com_carry,27696.0,27696.0,21.663778162911612,0.0,0.0
2018,510510,JUARA,JUARA,4,4,0,2334495.0,municipal_soma_com_carry,34906.0,34906.0,11.4593479631009,0.0,0.0
2018,510515,JUINA,JUINA,2,2,1,2334495.0,municipal_soma_com_carry,41101.0,41101.0,4.866061653001144,2.433030826500572,50.0
2018,510517,JURUENA,JUINA,1,1,0,2334495.0,municipal_soma_com_carry,10149.0,10149.0,9.853187506158243,0.0,0.0
2018,510525,LUCAS DO RIO VERDE,SINOP,3,3,0,2334495.0,municipal_soma_com_carry,67620.0,67620.0,4.436557231588288,0.0,0.0
2018,510590,NOBRES,DIAMANTINO,1,1,0,2334495.0,municipal_soma_com_carry,15492.0,15492.0,6.454944487477407,0.0,0.0
2018,510600,NORTELANDIA,DIAMANTINO,1,1,0,2334495.0,municipal_soma_com_carry,5960.0,5960.0,16.778523489932883,0.0,0.0
2018,510615,NOVA BANDEIRANTES,ALTA FLORESTA,1,1,1,2334495.0,municipal_soma_com_carry,15685.0,15685.0,6.37551801083838,6.37551801083838,100.0
2018,510620,NOVA BRASILANDIA,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,3791.0,3791.0,26.37826431020839,0.0,0.0
2018,510622,NOVA MUTUM,SINOP,1,1,0,2334495.0,municipal_soma_com_carry,46813.0,46813.0,2.1361587593189926,0.0,0.0
2018,510625,NOVA XAVANTINA,BARRA DO GARCAS,2,2,0,2334495.0,municipal_soma_com_carry,20944.0,20944.0,9.549274255156607,0.0,0.0
2018,510630,PARANATINGA,RONDONOPOLIS,2,2,0,2334495.0,municipal_soma_com_carry,22861.0,22861.0,8.74852368662788,0.0,0.0
2018,510637,PEDRA PRETA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,17547.0,17547.0,5.698979882601015,0.0,0.0
2018,510650,POCONE,CUIABA,2,2,0,2334495.0,municipal_soma_com_carry,31217.0,31217.0,6.4067655444149025,0.0,0.0
2018,510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,1,1,0,2334495.0,municipal_soma_com_carry,7169.0,7169.0,13.948946854512483,0.0,0.0
2018,510675,PONTES E LACERDA,PONTES E LACERDA,2,2,0,2334495.0,municipal_soma_com_carry,45774.0,45774.0,4.369292611526194,0.0,0.0
2018,510682,PORTO ESPERIDIAO,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,12176.0,12176.0,8.21287779237845,0.0,0.0
2018,510700,POXOREO,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,15936.0,15936.0,6.275100401606425,0.0,0.0
2018,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,4,4,0,2334495.0,municipal_soma_com_carry,63092.0,63092.0,6.339948012426299,0.0,0.0
