estrato,horizonte_se,ano_epi_v17,semana_epi_v17,periodo,pred,lower_80,upper_80,modelo_ma4,modelo_ma8,modelo_sazonal_52,modelo_tendencia
REGIONAL::AGUA BOA,2,2026,33,2026-S33,0.06510416666666666,0.0,0.17184522775961625,0.0625,0.03125,0.0,0.1666666666666666
REGIONAL::AGUA BOA,3,2026,34,2026-S34,0.0695583767361111,0.0,0.17215720768370443,0.07877604166666666,0.03938802083333333,0.0,0.16006944444444438
REGIONAL::AGUA BOA,4,2026,35,2026-S35,0.07191732901114004,0.0,0.16735502538610492,0.09616563585069443,0.048082817925347215,0.0,0.14342086226851847
REGIONAL::AGUA BOA,5,2026,36,2026-S36,0.07141267293765219,0.0,0.15907997786808692,0.11414496810347943,0.057072484051739716,0.0,0.11443323959538959
REGIONAL::AGUA BOA,6,2026,37,2026-S37,0.051555729561136555,0.0,0.11655869847880981,0.0694981363378925,0.06599906816894624,0.0,0.0707257137377075
REGIONAL::AGUA BOA,7,2026,38,2026-S38,0.034638640356399575,0.0,0.10542164755049947,0.06611102706150997,0.07244353436408832,0.0,0.0
REGIONAL::AGUA BOA,8,2026,39,2026-S39,0.043542063417940834,0.0,0.10559376750283783,0.05738109296658209,0.07677336440863826,0.0,0.040013796296542975
REGIONAL::ALTA FLORESTA,1,2026,32,2026-S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,2,2026,33,2026-S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,3,2026,34,2026-S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,4,2026,35,2026-S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,5,2026,36,2026-S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,6,2026,37,2026-S37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,7,2026,38,2026-S38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::ALTA FLORESTA,8,2026,39,2026-S39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::BARRA DO GARCAS,1,2026,32,2026-S32,0.12689012096774194,0.0,0.7406257199797985,0.0,0.5075604838709677,0.0,0.0
REGIONAL::BARRA DO GARCAS,2,2026,33,2026-S33,0.1599344233030914,0.0,0.7624251166012742,0.031722530241935484,0.5234217489919355,0.0,0.0845934139784946
REGIONAL::BARRA DO GARCAS,3,2026,34,2026-S34,0.16398950665655102,0.0,0.6959805998330512,0.07170613606770834,0.41841355190482193,0.0,0.1658383386536738
REGIONAL::BARRA DO GARCAS,4,2026,35,2026-S35,0.3467137591670776,0.0,1.1628601433241585,0.11270351273184609,0.056351756365923045,1.0,0.21779976757054112
REGIONAL::BARRA DO GARCAS,5,2026,36,2026-S36,0.1644630980704681,0.0,0.6589243193756207,0.19938195252361549,0.09969097626180774,0.0,0.35877946349644924
REGIONAL::BARRA DO GARCAS,6,2026,37,2026-S37,0.40948500679444555,0.0,1.176974052499299,0.20877519679929704,0.12024886352061626,1.0,0.308915966857869
REGIONAL::BARRA DO GARCAS,7,2026,38,2026-S38,0.20802628044914268,0.0,0.7065202011191911,0.27116284267213553,0.17143448936992195,0.0,0.38950778975451317
REGIONAL::BARRA DO GARCAS,8,2026,39,2026-S39,0.4502953338644693,0.0,0.9124300439094253,0.28217203612028346,0.19743777442606478,1.0,0.321571524911529
REGIONAL::CACERES,1,2026,32,2026-S32,0.17109966628911627,0.0,0.7308813251752402,0.28391167192429023,0.4004869932321748,0.0,0.0
REGIONAL::CACERES,2,2026,33,2026-S33,0.08491234202264834,0.0,0.5743539307077415,0.04277491657227907,0.2968744515183143,0.0,0.0
REGIONAL::CACERES,3,2026,34,2026-S34,0.09287287408727163,0.0,0.5873289005909428,0.06400300207794116,0.3074884942711454,0.0,0.0
REGIONAL::CACERES,4,2026,35,2026-S35,0.10498881338524124,0.0,0.36720230598658443,0.08722122059975906,0.18556644626202465,0.0,0.1471675866791813
REGIONAL::CACERES,5,2026,36,2026-S36,0.11488540608436268,0.0,0.37897331573106086,0.11346842394606937,0.1986900479351798,0.0,0.1473831524562015
REGIONAL::CACERES,6,2026,37,2026-S37,0.07592710766267888,0.0,0.28986182216905476,0.09941485889488097,0.07109488773358003,0.0,0.1331986840222545
REGIONAL::CACERES,7,2026,38,2026-S38,0.061954815479987296,0.0,0.2593272466039326,0.0971685503048886,0.08058577619141488,0.0,0.07006493542364571
REGIONAL::CACERES,8,2026,39,2026-S39,0.0628633057427624,0.0,0.22550521588177358,0.08943903565306752,0.08833012812641329,0.0,0.07368405919156878
REGIONAL::COLIDER,1,2026,32,2026-S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,2,2026,33,2026-S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,3,2026,34,2026-S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
