ano_dose_v34,regional_v34,imuno_grupo_v34,n_doses
2022,RONDONOPOLIS,MenACWY,19
2022,SAO FELIX DO ARAGUAIA,Hib,1710
2022,SAO FELIX DO ARAGUAIA,Meningocócica (outra),1426
2022,SAO FELIX DO ARAGUAIA,Penta/Hexa (Hib),780
2022,SAO FELIX DO ARAGUAIA,MenC,22
2022,SAO FELIX DO ARAGUAIA,MenACWY,6
2022,SINOP,Hib,44965
2022,SINOP,Meningocócica (outra),28249
2022,SINOP,Penta/Hexa (Hib),19479
2022,SINOP,MenC,163
2022,SINOP,MenACWY,12
2022,Sem regional,Meningocócica (outra),124
2022,Sem regional,Hib,59
2022,Sem regional,Penta/Hexa (Hib),38
2022,TANGARA DA SERRA,Hib,19196
2022,TANGARA DA SERRA,Meningocócica (outra),12709
2022,TANGARA DA SERRA,Penta/Hexa (Hib),7952
2022,TANGARA DA SERRA,MenC,30
2022,TANGARA DA SERRA,MenACWY,13
2021,AGUA BOA,Hib,3329
2021,AGUA BOA,Meningocócica (outra),2214
2021,AGUA BOA,Penta/Hexa (Hib),1289
2021,AGUA BOA,MenACWY,9
2021,AGUA BOA,MenC,3
2021,ALTA FLORESTA,Hib,2243
2021,ALTA FLORESTA,Meningocócica (outra),1704
2021,ALTA FLORESTA,Penta/Hexa (Hib),1108
2021,ALTA FLORESTA,MenACWY,4
2021,BARRA DO GARCAS,Hib,3202
2021,BARRA DO GARCAS,Meningocócica (outra),2141
2021,BARRA DO GARCAS,Penta/Hexa (Hib),1182
2021,BARRA DO GARCAS,MenACWY,140
2021,BARRA DO GARCAS,MenC,19
2021,CACERES,Hib,4053
2021,CACERES,Meningocócica (outra),2327
2021,CACERES,Penta/Hexa (Hib),1522
2021,CACERES,MenACWY,2
2021,CACERES,MenC,1
2021,COLIDER,Hib,1224
2021,COLIDER,Meningocócica (outra),1102
2021,COLIDER,Penta/Hexa (Hib),602
2021,COLIDER,MenC,2
2021,COLIDER,MenACWY,1
2021,CUIABA,Hib,19489
2021,CUIABA,Meningocócica (outra),13410
2021,CUIABA,Penta/Hexa (Hib),8070
2021,CUIABA,MenACWY,59
2021,CUIABA,MenC,42
2021,DIAMANTINO,Hib,2670
2021,DIAMANTINO,Meningocócica (outra),1382
2021,DIAMANTINO,Penta/Hexa (Hib),767
2021,DIAMANTINO,MenACWY,14
2021,DIAMANTINO,MenC,1
2021,JUARA,Hib,1731
2021,JUARA,Meningocócica (outra),1012
2021,JUARA,Penta/Hexa (Hib),506
2021,JUARA,MenACWY,1
2021,JUINA,Hib,4665
2021,JUINA,Meningocócica (outra),2621
2021,JUINA,Penta/Hexa (Hib),1514
2021,JUINA,MenACWY,15
2021,JUINA,MenC,5
2021,PEIXOTO DE AZEVEDO,Hib,2008
2021,PEIXOTO DE AZEVEDO,Meningocócica (outra),1382
2021,PEIXOTO DE AZEVEDO,Penta/Hexa (Hib),721
