ano_dose_v34,codigo_municipio_v34,municipio_v34,regional_v34,imuno_grupo_v34,faixa_risco_v34,n_doses
2025,510850,,SINOP,MenC,Ignorado,5
2025,510050,,DIAMANTINO,MenC,Ignorado,4
2025,510450,,CACERES,MenC,Ignorado,4
2025,510677,,PORTO ALEGRE DO NORTE,MenC,Ignorado,4
2025,510777,,PORTO ALEGRE DO NORTE,MenC,Ignorado,4
2025,510830,,SINOP,MenC,Ignorado,4
2025,510880,,COLIDER,MenC,Ignorado,4
2025,510343,,CACERES,MenC,Ignorado,3
2025,510454,,SINOP,MenC,Ignorado,3
2025,510460,,RONDONOPOLIS,MenC,Ignorado,3
2025,510619,,COLIDER,MenC,Ignorado,3
2025,510620,,CUIABA,MenC,Ignorado,3
2025,510626,,PEIXOTO DE AZEVEDO,MenC,Ignorado,3
2025,510627,,JUARA,MenC,Ignorado,3
2025,510885,,TANGARA DA SERRA,MenC,Ignorado,3
2025,510269,,PORTO ALEGRE DO NORTE,MenC,Ignorado,2
2025,510390,,BARRA DO GARCAS,MenC,Ignorado,2
2025,510610,,CUIABA,MenC,Ignorado,2
2025,510685,,TANGARA DA SERRA,MenC,Ignorado,2
2025,510720,,CACERES,MenC,Ignorado,2
2025,510740,,RONDONOPOLIS,MenC,Ignorado,2
2025,510757,,Sem regional,MenC,Ignorado,2
2025,510100,,BARRA DO GARCAS,MenC,Ignorado,1
2025,510310,,AGUA BOA,MenC,Ignorado,1
2025,510336,,PONTES E LACERDA,MenC,Ignorado,1
2025,510550,,PONTES E LACERDA,MenC,Ignorado,1
2025,510623,,TANGARA DA SERRA,MenC,Ignorado,1
2025,510628,,BARRA DO GARCAS,MenC,Ignorado,1
2025,510665,,BARRA DO GARCAS,MenC,Ignorado,1
2025,510715,,CACERES,MenC,Ignorado,1
2025,510729,,RONDONOPOLIS,MenC,Ignorado,1
2025,510775,,CACERES,MenC,Ignorado,1
2025,510810,,RONDONOPOLIS,MenC,Ignorado,1
2025,510835,,PONTES E LACERDA,MenC,Ignorado,1
2025,510340,,CUIABA,Meningocócica (outra),Ignorado,17142
2025,510840,,CUIABA,Meningocócica (outra),Ignorado,9762
2025,510760,,RONDONOPOLIS,Meningocócica (outra),Ignorado,7359
2025,510790,,SINOP,Meningocócica (outra),Ignorado,7177
2025,510792,,SINOP,Meningocócica (outra),Ignorado,4252
2025,510795,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,3292
2025,510704,,RONDONOPOLIS,Meningocócica (outra),Ignorado,3026
2025,510525,,SINOP,Meningocócica (outra),Ignorado,2785
2025,510250,,CACERES,Meningocócica (outra),Ignorado,2763
2025,510622,,SINOP,Meningocócica (outra),Ignorado,2143
2025,510675,,PONTES E LACERDA,Meningocócica (outra),Ignorado,1992
