regional_v17,classificacao_agrupada_v17,vacina,campo_vacinal,desfecho,total_casos_no_estrato,proporcao_vacinados_pct,status,motivo,n_analisado,vacinados,nao_vacinados,eventos_vacinados,nao_eventos_vacinados,eventos_nao_vacinados,nao_eventos_nao_vacinados,or,ic95_or_inferior,ic95_or_superior,p_value,efetividade_vacinal_estimada_pct,ev_ic95_inferior_pct,ev_ic95_superior_pct,interpretacao_estatistica,interpretacao,relevancia_pratica,alerta_vigilancia
CUIABA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,82,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,82,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,82,6.8181818181818175,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,82,6.8181818181818175,Aplicável etiologicamente,Par vacina-etiologia coerente.,44.0,3.0,41.0,3.0,0.0,40.0,1.0,0.25925925925925924,0.008811048293150988,7.628531960709797,1.0,74.07407407407408,-662.8531960709797,99.11889517068491,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,"OR<1 sugere proteção observacional, mas IC95%/p-valor exigem cautela.",Associação protetora de magnitude potencialmente relevante.,Sugere proteção; cautela
CUIABA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,82,6.8181818181818175,Aplicável etiologicamente,Par vacina-etiologia coerente.,44.0,3.0,41.0,2.0,1.0,13.0,28.0,4.3076923076923075,0.3575089102351553,51.90419731230176,0.2642706131078224,0.0,,,p=0.2643: não há evidência estatística suficiente ao nível de 5%.,Sem evidência robusta de proteção observacional.,Aumento expressivo da chance do desfecho; priorizar investigação.,Sem evidência robusta
CUIABA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,64,23.52941176470588,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,64,23.52941176470588,Aplicável etiologicamente,Par vacina-etiologia coerente.,34.0,8.0,26.0,8.0,0.0,24.0,2.0,1.7346938775510203,0.0754543286826634,39.880586062445325,1.0,0.0,,,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Sem evidência robusta de proteção observacional.,Aumento expressivo da chance do desfecho; priorizar investigação.,Sem evidência robusta
CUIABA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,64,23.52941176470588,Aplicável etiologicamente,Par vacina-etiologia coerente.,34.0,8.0,26.0,3.0,5.0,5.0,21.0,2.52,0.4458277118981305,14.244067451444195,0.35510528522371754,0.0,,,p=0.3551: não há evidência estatística suficiente ao nível de 5%.,Sem evidência robusta de proteção observacional.,Aumento expressivo da chance do desfecho; priorizar investigação.,Sem evidência robusta
CUIABA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Confirmação do caso,12,87.5,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Hospitalização,12,87.5,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Óbito por meningite,12,87.5,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Confirmação do caso,22,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Hospitalização,22,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CUIABA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Óbito por meningite,22,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Confirmação do caso,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Hospitalização,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
DIAMANTINO,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Óbito por meningite,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
