codigo_municipio_v17,municipio_v17,regional_v17,casos_total,campos_avaliados,comp_DataNotificacao,comp_DataPrimeirosSintomas,comp_MunicipioResidencia,comp_CodigoMunicipioResidencia,comp_SexoPaciente,comp_IdadePaciente,comp_FaixaEtaria,comp_ClassificacaoCaso,comp_ClassificacaoMeningite,comp_EvolucaoCaso,comp_SeNMeningiditisEspecificarSorogrupo,comp_PuncaoLombar,comp_ResultadoPCRLiquor,comp_ResultadoCulturaLiquor,comp_CriterioConfirmacao,comp_DataEncerramento,pct_completude_media,campo_pior,pct_campo_pior,ranking_completude
510560,MATUPA,PEIXOTO DE AZEVEDO,9,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777779,66.66666666666666,66.66666666666666,0.0,88.88888888888889,0.0,66.66666666666666,66.66666666666666,77.77777777777779,75.69444444444444,SeNMeningiditisEspecificarSorogrupo,0.0,66.0
510625,NOVA XAVANTINA,BARRA DO GARCAS,21,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.47619047619048,66.66666666666666,76.19047619047619,4.761904761904762,90.47619047619048,4.761904761904762,14.285714285714285,71.42857142857143,95.23809523809523,75.89285714285714,SeNMeningiditisEspecificarSorogrupo,4.761904761904762,65.0
510343,CURVELANDIA,CACERES,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,71.42857142857143,71.42857142857143,0.0,85.71428571428571,14.285714285714285,28.57142857142857,71.42857142857143,85.71428571428571,75.89285714285715,SeNMeningiditisEspecificarSorogrupo,0.0,64.0
510730,SAO JOSE DO RIO CLARO,DIAMANTINO,21,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.23809523809523,57.14285714285714,71.42857142857143,0.0,90.47619047619048,19.047619047619047,33.33333333333333,57.14285714285714,95.23809523809523,76.19047619047619,SeNMeningiditisEspecificarSorogrupo,0.0,63.0
510724,SANTA CARMEM,SINOP,14,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.57142857142857,71.42857142857143,71.42857142857143,7.142857142857142,92.85714285714286,7.142857142857142,42.857142857142854,71.42857142857143,78.57142857142857,76.33928571428572,SeNMeningiditisEspecificarSorogrupo,7.142857142857142,62.0
510454,ITANHANGA,SINOP,9,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.88888888888889,55.55555555555556,77.77777777777779,22.22222222222222,88.88888888888889,0.0,44.44444444444444,55.55555555555556,88.88888888888889,76.38888888888889,ResultadoPCRLiquor,0.0,61.0
510523,LAMBARI D OESTE,CACERES,8,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,87.5,87.5,0.0,75.0,0.0,0.0,100.0,87.5,76.5625,SeNMeningiditisEspecificarSorogrupo,0.0,60.0
510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.42857142857143,28.57142857142857,0.0,100.0,14.285714285714285,42.857142857142854,71.42857142857143,100.0,76.78571428571428,SeNMeningiditisEspecificarSorogrupo,0.0,59.0
510370,FELIZ NATAL,SINOP,20,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,60.0,90.0,5.0,95.0,0.0,35.0,55.00000000000001,95.0,76.875,ResultadoPCRLiquor,0.0,57.0
510624,NOVA UBIRATA,SINOP,10,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,70.0,60.0,0.0,90.0,0.0,60.0,70.0,90.0,76.875,SeNMeningiditisEspecificarSorogrupo,0.0,57.0
