escopo,recorte,casos_total,com_lead_time,notificacao_le_1d_n,pct_notificacao_le_1d,p50_deteccao_dias,p90_deteccao_dias
ANO,2022,191,190,40,21.052631578947366,4.5,17.19999999999999
ANO,2023,268,267,64,23.970037453183522,4.0,16.0
ANO,2024,267,266,55,20.676691729323306,4.0,15.0
ANO,2025,246,246,63,25.609756097560975,3.5,17.0
ANO,2026,173,173,40,23.121387283236995,4.0,11.800000000000011
CLASSIFICACAO,Doença meningocócica,278,278,97,34.89208633093525,2.0,7.0
CLASSIFICACAO,Meningite bacteriana/outras bactérias,498,494,134,27.125506072874494,3.0,13.0
CLASSIFICACAO,Meningite fúngica,172,170,19,11.176470588235295,10.0,53.799999999999955
CLASSIFICACAO,Meningite não especificada,1165,1163,328,28.20292347377472,3.0,13.0
CLASSIFICACAO,Meningite pneumocócica,222,221,61,27.601809954751133,3.0,11.0
CLASSIFICACAO,Meningite por Hib/Hemófilo,21,21,7,33.33333333333333,7.0,30.0
CLASSIFICACAO,Meningite tuberculosa,47,46,3,6.521739130434782,17.0,137.5
CLASSIFICACAO,Meningite viral/asséptica,912,908,225,24.779735682819386,3.0,10.0
CLASSIFICACAO,Outras etiologias,2629,2618,888,33.919022154316266,3.0,13.0
REGIONAL_CLASSIFICACAO,AGUA BOA | Doença meningocócica,8,8,2,25.0,2.5,6.3
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite bacteriana/outras bactérias,8,8,2,25.0,5.0,9.2
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite fúngica,1,1,0,0.0,3.0,3.0
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite não especificada,15,15,7,46.666666666666664,4.0,18.0
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite por Hib/Hemófilo,2,2,2,100.0,1.0,1.0
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite tuberculosa,2,2,0,0.0,107.0,143.0
REGIONAL_CLASSIFICACAO,AGUA BOA | Meningite viral/asséptica,6,6,2,33.33333333333333,5.5,6.5
REGIONAL_CLASSIFICACAO,AGUA BOA | Outras etiologias,73,73,19,26.027397260273972,3.0,12.0
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Doença meningocócica,11,11,6,54.54545454545454,1.0,5.0
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite bacteriana/outras bactérias,8,8,2,25.0,3.5,12.2
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite fúngica,3,3,0,0.0,17.0,19.4
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite não especificada,38,38,15,39.473684210526315,2.0,6.900000000000013
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite pneumocócica,4,4,0,0.0,2.0,18.800000000000004
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite tuberculosa,1,1,0,0.0,2.0,2.0
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Meningite viral/asséptica,8,8,0,0.0,5.5,12.999999999999998
REGIONAL_CLASSIFICACAO,ALTA FLORESTA | Outras etiologias,47,46,17,36.95652173913043,2.0,12.5
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Doença meningocócica,18,18,10,55.55555555555556,1.0,13.0
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite bacteriana/outras bactérias,8,8,4,50.0,1.5,6.0
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite fúngica,3,3,1,33.33333333333333,2.0,7.6000000000000005
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite não especificada,74,74,14,18.91891891891892,3.0,14.0
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite pneumocócica,4,4,1,25.0,2.0,3.4000000000000004
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite por Hib/Hemófilo,1,1,1,100.0,0.0,0.0
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Meningite viral/asséptica,2,2,0,0.0,4.5,5.7
REGIONAL_CLASSIFICACAO,BARRA DO GARCAS | Outras etiologias,143,143,63,44.05594405594406,2.0,8.799999999999997
REGIONAL_CLASSIFICACAO,CACERES | Doença meningocócica,14,14,4,28.57142857142857,3.0,11.200000000000006
REGIONAL_CLASSIFICACAO,CACERES | Meningite bacteriana/outras bactérias,65,65,21,32.30769230769231,2.0,10.600000000000001
REGIONAL_CLASSIFICACAO,CACERES | Meningite fúngica,10,10,0,0.0,23.0,71.29999999999993
REGIONAL_CLASSIFICACAO,CACERES | Meningite não especificada,95,95,14,14.736842105263156,4.0,17.60000000000001
REGIONAL_CLASSIFICACAO,CACERES | Meningite pneumocócica,3,3,1,33.33333333333333,4.0,8.0
REGIONAL_CLASSIFICACAO,CACERES | Meningite por Hib/Hemófilo,1,1,0,0.0,7.0,7.0
REGIONAL_CLASSIFICACAO,CACERES | Meningite tuberculosa,4,4,0,0.0,8.5,11.8
REGIONAL_CLASSIFICACAO,CACERES | Meningite viral/asséptica,106,104,23,22.115384615384613,4.0,10.0
REGIONAL_CLASSIFICACAO,CACERES | Outras etiologias,64,64,17,26.5625,4.0,54.90000000000005
REGIONAL_CLASSIFICACAO,COLIDER | Doença meningocócica,2,2,0,0.0,4.5,6.5
REGIONAL_CLASSIFICACAO,COLIDER | Meningite bacteriana/outras bactérias,4,4,2,50.0,2.0,5.800000000000001
REGIONAL_CLASSIFICACAO,COLIDER | Meningite fúngica,2,2,0,0.0,51.0,84.6
REGIONAL_CLASSIFICACAO,COLIDER | Meningite não especificada,9,9,1,11.11111111111111,7.0,11.600000000000001
REGIONAL_CLASSIFICACAO,COLIDER | Meningite pneumocócica,1,1,0,0.0,2.0,2.0
REGIONAL_CLASSIFICACAO,COLIDER | Meningite tuberculosa,2,2,0,0.0,114.0,196.4
REGIONAL_CLASSIFICACAO,COLIDER | Meningite viral/asséptica,6,6,0,0.0,5.5,11.0
REGIONAL_CLASSIFICACAO,COLIDER | Outras etiologias,63,63,21,33.33333333333333,3.0,9.800000000000004
REGIONAL_CLASSIFICACAO,CUIABA | Doença meningocócica,82,82,30,36.58536585365854,2.0,5.0
