Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
140050,1400506,RR,São João da Baliza,8'348,8'492,8'858,9'530,9'727,9'969
140060,1400605,RR,São Luiz,8'110,8'232,7'315,7'733,7'777,7'848
140070,1400704,RR,Uiramutã,10'789,11'014,13'751,14'938,15'571,16'186
150010,1500107,PA,Abaetetuba,159'080,160'439,158'188,169'354,170'999,172'344
150013,1500131,PA,Abel Figueiredo,7'486,7'536,6'136,6'364,6'302,6'275
150020,1500206,PA,Acará,55'669,55'744,59'023,62'311,62'701,63'110
150030,1500305,PA,Afuá,39'567,39'910,37'765,40'008,40'246,40'473
150034,1500347,PA,Água Azul do Norte,27'615,27'797,18'080,18'546,17'960,17'596
150040,1500404,PA,Alenquer,57'092,57'390,69'377,73'171,74'836,75'882
150050,1500503,PA,Almeirim,34'076,34'044,34'280,36'343,36'334,36'442
150060,1500602,PA,Altamira,115'969,117'320,126'279,134'390,136'982,138'749
150070,1500701,PA,Anajás,29'688,30'091,28'011,29'669,30'003,30'247
150080,1500800,PA,Ananindeua,535'547,540'410,478'778,507'841,507'838,509'227
150085,1500859,PA,Anapu,28'607,29'312,31'850,33'715,34'947,35'638
150090,1500909,PA,Augusto Corrêa,46'471,46'937,44'573,47'301,47'596,47'912
150095,1500958,PA,Aurora do Pará,31'773,32'200,23'774,24'610,24'321,24'193
150100,1501006,PA,Aveiro,16'404,16'421,18'290,19'014,19'223,19'380
150110,1501105,PA,Bagre,31'325,31'967,31'892,33'841,34'633,35'147
150120,1501204,PA,Baião,48'459,49'454,51'641,54'561,55'949,56'850
150125,1501253,PA,Bannach,3'262,3'239,4'031,4'193,4'252,4'290
150130,1501303,PA,Barcarena,127'027,129'333,126'650,134'830,137'331,139'076
150140,1501402,PA,Belém,1'499'641,1'506'420,1'303'403,1'407'017,1'398'531,1'397'315
150145,1501451,PA,Belterra,17'839,17'944,18'099,18'825,18'954,19'075
150150,1501501,PA,Benevides,63'768,64'780,63'567,67'159,68'191,68'962
150157,1501576,PA,Bom Jesus do Tocantins,17'118,17'254,18'005,18'811,18'958,19'129
150160,1501600,PA,Bonito,16'530,16'769,12'622,13'095,12'998,12'961
150170,1501709,PA,Bragança,128'914,130'122,123'082,130'919,131'679,132'489
150172,1501725,PA,Brasil Novo,14'983,14'883,24'718,25'691,26'606,27'130
150175,1501758,PA,Brejo Grande do Araguaia,7'368,7'357,6'783,7'051,6'985,6'966
150178,1501782,PA,Breu Branco,67'332,68'597,45'712,48'145,47'351,47'066
150180,1501808,PA,Breves,103'497,104'280,106'968,113'690,115'051,116'058
150190,1501907,PA,Bujaru,29'427,29'717,24'383,25'256,25'112,25'065
150195,1501956,PA,Cachoeira do Piriá,34'609,35'307,19'630,20'127,19'578,19'223
150200,1502004,PA,Cachoeira do Arari,24'064,24'355,23'981,24'923,25'243,25'467
150210,1502103,PA,Cametá,139'364,140'814,134'184,142'692,143'837,144'859
150215,1502152,PA,Canaã dos Carajás,38'103,39'103,77'079,80'767,86'629,89'524
150220,1502202,PA,Capanema,69'431,69'828,70'394,74'270,74'808,75'309
150230,1502301,PA,Capitão Poço,54'425,54'545,56'506,59'606,59'960,60'318
150240,1502400,PA,Castanhal,203'251,205'667,192'256,205'882,207'603,209'126
150250,1502509,PA,Chaves,23'948,24'175,20'757,21'497,21'487,21'501
150260,1502608,PA,Colares,12'131,12'175,12'868,13'430,13'526,13'625
150270,1502707,PA,Conceição do Araguaia,47'991,48'115,44'617,47'300,47'099,47'144
150275,1502756,PA,Concórdia do Pará,33'781,34'236,26'881,28'426,28'287,28'270
150276,1502764,PA,Cumaru do Norte,13'761,14'044,14'036,14'586,14'937,15'150
150277,1502772,PA,Curionópolis,17'846,17'764,19'950,20'786,20'859,20'975
150280,1502806,PA,Curralinho,34'994,35'530,33'903,35'946,36'451,36'814
150285,1502855,PA,Curuá,14'587,14'776,14'117,14'680,14'834,14'954
150290,1502905,PA,Curuçá,40'584,41'093,41'262,43'889,44'413,44'880
150293,1502939,PA,Dom Eliseu,60'469,61'206,58'484,61'780,62'322,62'823
150295,1502954,PA,Eldorado do Carajás,33'940,34'069,28'192,29'874,29'425,29'287
150300,1503002,PA,Faro,7'070,6'949,8'728,9'070,9'125,9'167
150304,1503044,PA,Floresta do Araguaia,20'525,20'742,17'898,18'625,18'565,18'595
150307,1503077,PA,Garrafão do Norte,26'111,26'155,24'703,25'650,25'552,25'558
150309,1503093,PA,Goianésia do Pará,41'081,41'678,26'362,27'780,27'059,26'703
150310,1503101,PA,Gurupá,33'755,34'127,31'786,33'687,33'922,34'137
150320,1503200,PA,Igarapé-Açu,39'023,39'234,35'797,37'877,37'855,37'925
150330,1503309,PA,Igarapé-Miri,63'036,63'367,64'831,68'444,68'955,69'446
150340,1503408,PA,Inhangapi,11'861,12'009,10'325,10'733,10'754,10'784
150345,1503457,PA,Ipixuna do Pará,65'625,67'170,30'329,31'060,30'158,29'264
150350,1503507,PA,Irituia,32'595,32'639,30'955,32'775,32'698,32'740
150360,1503606,PA,Itaituba,101'395,101'541,123'314,131'070,133'684,135'369
150370,1503705,PA,Itupiranga,53'355,53'439,49'754,52'587,52'187,52'201
150375,1503754,PA,Jacareacanga,7'590,6'952,24'042,24'799,26'006,26'579
150380,1503804,PA,Jacundá,59'842,60'517,37'707,39'537,38'391,37'726
150390,1503903,PA,Juruti,58'960,59'961,50'881,53'683,53'952,54'255
150400,1504000,PA,Limoeiro do Ajuru,29'282,29'623,29'569,31'348,31'778,32'088
150405,1504059,PA,Mãe do Rio,30'235,30'389,34'353,36'465,37'048,37'473
