Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
330350,3303500,RJ,Nova Iguaçu,823'302,825'388,785'867,843'425,843'046,843'220
330360,3303609,RJ,Paracambi,52'683,53'093,41'375,44'067,43'656,43'627
330370,3303708,RJ,Paraíba do Sul,44'518,44'741,42'063,44'432,44'467,44'479
330380,3303807,RJ,Paraty,43'680,44'175,45'243,46'983,47'614,47'668
330385,3303856,RJ,Paty do Alferes,27'858,27'942,29'619,31'100,31'345,31'370
330390,3303906,RJ,Petrópolis,306'678,307'144,278'881,296'512,294'983,294'926
330395,3303955,RJ,Pinheiral,25'364,25'563,24'298,25'004,25'085,25'096
330400,3304003,RJ,Piraí,29'545,29'802,27'474,28'950,29'054,29'066
330410,3304102,RJ,Porciúncula,18'960,19'068,17'288,17'834,17'832,17'832
330411,3304110,RJ,Porto Real,19'974,20'254,20'373,20'793,21'064,21'089
330412,3304128,RJ,Quatis,14'435,14'562,13'682,14'109,14'158,14'165
330414,3304144,RJ,Queimados,151'335,152'311,140'523,149'018,149'093,149'135
330415,3304151,RJ,Quissamã,25'126,25'535,22'393,22'976,23'126,23'142
330420,3304201,RJ,Resende,132'312,133'244,129'612,136'847,137'612,137'697
330430,3304300,RJ,Rio Bonito,60'573,60'930,56'276,59'119,59'113,59'126
330440,3304409,RJ,Rio Claro,18'605,18'677,17'401,17'979,17'950,17'951
330450,3304508,RJ,Rio das Flores,9'344,9'401,8'954,9'234,9'264,9'267
330452,3304524,RJ,Rio das Ostras,155'193,159'529,156'491,163'096,168'099,168'455
330455,3304557,RJ,Rio de Janeiro,6'747'815,6'775'561,6'211'223,6'735'026,6'729'894,6'730'729
330460,3304607,RJ,Santa Maria Madalena,10'392,10'380,10'232,10'600,10'579,10'580
330470,3304706,RJ,Santo Antônio de Pádua,42'594,42'705,41'325,43'627,43'686,43'697
330475,3304755,RJ,São Francisco de Itabapoana,42'210,42'214,45'059,47'102,47'368,47'397
330480,3304805,RJ,São Fidélis,38'710,38'749,38'961,41'098,41'197,41'212
330490,3304904,RJ,São Gonçalo,1'091'737,1'098'357,896'744,969'681,960'652,960'196
330500,3305000,RJ,São João da Barra,36'423,36'731,36'573,38'422,38'708,38'740
330510,3305109,RJ,São João de Meriti,472'906,473'385,440'962,468'418,466'536,466'503
330513,3305133,RJ,São José de Ubá,7'206,7'240,7'070,7'287,7'315,7'318
330515,3305158,RJ,São José do Vale do Rio Preto,21'916,22'032,22'080,22'678,22'799,22'813
330520,3305208,RJ,São Pedro da Aldeia,106'049,107'556,104'029,109'197,110'556,110'677
330530,3305307,RJ,São Sebastião do Alto,9'387,9'416,7'750,8'046,7'999,7'993
330540,3305406,RJ,Sapucaia,18'249,18'270,17'729,18'306,18'289,18'291
330550,3305505,RJ,Saquarema,90'583,91'938,89'559,93'810,95'201,95'315
330555,3305554,RJ,Seropédica,83'092,83'841,80'596,84'182,84'737,84'794
330560,3305604,RJ,Silva Jardim,21'774,21'775,21'352,22'063,22'026,22'028
330570,3305703,RJ,Sumidouro,15'667,15'709,15'206,15'662,15'690,15'693
330575,3305752,RJ,Tanguá,34'610,34'898,31'086,32'863,32'858,32'865
330580,3305802,RJ,Teresópolis,184'240,185'820,165'123,176'642,176'692,176'735
330590,3305901,RJ,Trajano de Moraes,10'640,10'653,10'302,10'664,10'652,10'654
330600,3306008,RJ,Três Rios,82'142,82'468,78'346,82'258,82'300,82'319
330610,3306107,RJ,Valença,76'869,77'202,68'088,71'841,71'462,71'449
330615,3306156,RJ,Varre-Sai,11'106,11'208,10'207,10'522,10'559,10'563
330620,3306206,RJ,Vassouras,37'083,37'262,33'976,35'960,35'904,35'907
330630,3306305,RJ,Volta Redonda,273'988,274'925,261'563,279'752,279'898,279'971
350010,3500105,SP,Adamantina,35'111,35'153,34'687,35'644,35'642,35'673
350020,3500204,SP,Adolfo,3'554,3'545,4'351,4'418,4'478,4'505
350030,3500303,SP,Aguaí,36'648,36'981,32'072,32'975,32'888,32'886
350040,3500402,SP,Águas da Prata,8'221,8'262,7'369,7'487,7'470,7'463
350050,3500501,SP,Águas de Lindóia,18'808,18'908,17'930,18'250,18'245,18'257
350055,3500550,SP,Águas de Santa Bárbara,6'109,6'142,7'177,7'309,7'407,7'460
350060,3500600,SP,Águas de São Pedro,3'521,3'588,2'780,2'813,2'829,2'928
350070,3500709,SP,Agudos,37'401,37'582,37'680,38'734,38'879,38'988
350075,3500758,SP,Alambari,6'129,6'231,6'141,6'234,6'330,6'373
350080,3500808,SP,Alfredo Marcondes,4'184,4'201,4'445,4'516,4'556,4'574
350090,3500907,SP,Altair,4'186,4'211,3'451,3'469,3'479,3'467
350100,3501004,SP,Altinópolis,16'203,16'221,16'818,17'095,17'156,17'197
350110,3501103,SP,Alto Alegre,4'088,4'078,3'841,3'886,3'883,3'874
350115,3501152,SP,Alumínio,18'767,18'903,17'301,17'603,17'591,17'607
350120,3501202,SP,Álvares Florence,3'647,3'616,3'915,3'972,3'978,3'979
350130,3501301,SP,Álvares Machado,24'998,25'078,27'255,27'975,28'250,28'386
350140,3501400,SP,Álvaro de Carvalho,5'274,5'320,4'808,4'865,4'896,4'901
350150,3501509,SP,Alvinlândia,3'237,3'251,2'885,2'901,2'923,2'919
350160,3501608,SP,Americana,242'018,244'370,237'240,245'019,246'655,247'571
350170,3501707,SP,Américo Brasiliense,41'032,41'545,33'019,33'985,33'757,33'708
350180,3501806,SP,Américo de Campos,5'981,5'993,5'870,5'962,5'975,5'981
350190,3501905,SP,Amparo,72'677,73'145,68'008,69'733,69'717,69'792
350200,3502002,SP,Analândia,5'056,5'115,4'589,4'646,4'684,4'694
350210,3502101,SP,Andradina,57'202,57'245,59'783,61'278,61'473,61'625
350220,3502200,SP,Angatuba,25'479,25'724,24'022,24'434,24'512,24'573
350230,3502309,SP,Anhembi,6'819,6'911,5'674,5'773,5'766,5'766
350240,3502408,SP,Anhumas,4'144,4'172,4'023,4'078,4'108,4'118
350250,3502507,SP,Aparecida,36'185,36'211,32'569,33'496,33'223,33'141
350260,3502606,SP,Aparecida d'Oeste,4'158,4'122,4'086,4'141,4'124,4'112
350270,3502705,SP,Apiaí,24'226,24'081,24'585,25'035,24'886,24'857
350275,3502754,SP,Araçariguama,22'860,23'343,21'522,21'835,22'168,22'314
350280,3502804,SP,Araçatuba,198'129,199'210,200'124,206'702,207'775,208'415
350290,3502903,SP,Araçoiaba da Serra,34'776,35'389,32'443,33'345,33'656,33'832
350300,3503000,SP,Aramina,5'655,5'689,5'420,5'504,5'526,5'535
350310,3503109,SP,Arandu,6'365,6'373,6'885,6'986,7'050,7'076
350315,3503158,SP,Arapeí,2'460,2'452,2'330,2'334,2'355,2'355
350320,3503208,SP,Araraquara,238'339,240'542,242'228,250'194,252'318,253'474
350330,3503307,SP,Araras,135'506,136'739,130'866,134'715,135'331,135'744
350335,3503356,SP,Arco-Íris,1'773,1'755,2'044,2'061,2'085,2'089
350340,3503406,SP,Arealva,8'613,8'665,8'130,8'282,8'280,8'290
350350,3503505,SP,Areias,3'896,3'906,3'577,3'608,3'625,3'617
350360,3503604,SP,Areiópolis,11'158,11'186,10'130,10'291,10'257,10'242
350370,3503703,SP,Ariranha,9'761,9'851,7'602,7'723,7'653,7'621
350380,3503802,SP,Artur Nogueira,55'340,56'247,51'456,52'693,53'157,53'467
350390,3503901,SP,Arujá,91'157,92'453,86'678,89'218,89'943,90'273
350395,3503950,SP,Aspásia,1'818,1'815,1'842,1'841,1'873,1'875
350400,3504008,SP,Assis,105'087,105'768,101'409,104'403,104'642,104'858
350410,3504107,SP,Atibaia,144'088,145'378,158'647,163'484,166'043,167'161
350420,3504206,SP,Auriflama,15'253,15'316,13'692,13'946,13'873,13'856
350430,3504305,SP,Avaí,5'436,5'467,4'483,4'529,4'519,4'503
350440,3504404,SP,Avanhandava,13'859,14'063,11'263,11'454,11'438,11'436
350450,3504503,SP,Avaré,91'232,91'792,92'805,95'496,96'098,96'450
350460,3504602,SP,Bady Bassitt,17'761,18'013,27'260,27'983,28'909,29'346
350470,3504701,SP,Balbinos,5'934,6'127,3'887,4'000,3'963,3'969
350480,3504800,SP,Bálsamo,9'139,9'209,9'596,9'735,9'854,9'902
350490,3504909,SP,Bananal,10'993,11'039,9'969,10'139,10'109,10'097
350500,3505005,SP,Barão de Antonina,3'498,3'525,3'531,3'568,3'618,3'632
350510,3505104,SP,Barbosa,7'468,7'532,5'640,5'704,5'659,5'627
350520,3505203,SP,Bariri,35'558,35'844,31'595,32'470,32'405,32'406
350530,3505302,SP,Barra Bonita,36'126,36'125,34'346,35'334,35'159,35'129
350535,3505351,SP,Barra do Chapéu,5'760,5'794,5'179,5'245,5'256,5'254
350540,3505401,SP,Barra do Turvo,7'632,7'606,6'876,6'982,6'922,6'894
350550,3505500,SP,Barretos,122'833,123'546,122'485,125'971,126'600,126'957
350560,3505609,SP,Barrinha,33'180,33'537,32'092,32'980,33'181,33'304
350570,3505708,SP,Barueri,276'982,279'704,316'473,324'507,330'339,333'737
350580,3505807,SP,Bastos,20'953,20'952,21'503,21'892,21'900,21'936
350590,3505906,SP,Batatais,62'980,63'438,58'402,59'886,59'873,59'939
350600,3506003,SP,Bauru,379'297,381'706,379'146,389'785,391'740,392'947
350610,3506102,SP,Bebedouro,77'555,77'612,76'373,78'318,78'210,78'257
350620,3506201,SP,Bento de Abreu,3'005,3'028,2'606,2'613,2'642,2'640
350630,3506300,SP,Bernardino de Campos,11'158,11'168,11'607,11'796,11'852,11'881
350635,3506359,SP,Bertioga,64'723,66'154,64'188,65'556,66'873,67'436
350640,3506409,SP,Bilac,8'117,8'197,7'319,7'436,7'455,7'464
350650,3506508,SP,Birigui,124'883,126'094,118'979,122'510,122'988,123'340
350660,3506607,SP,Biritiba Mirim,32'936,33'265,29'683,30'543,30'526,30'564
350670,3506706,SP,Boa Esperança do Sul,15'018,15'111,12'978,13'198,13'135,13'113
350680,3506805,SP,Bocaina,12'452,12'571,11'259,11'463,11'467,11'480
350690,3506904,SP,Bofete,11'921,12'107,10'460,10'673,10'688,10'710
350700,3507001,SP,Boituva,62'170,63'310,61'081,62'464,63'415,63'850
350710,3507100,SP,Bom Jesus dos Perdões,25'985,26'506,22'006,22'371,22'501,22'579
350715,3507159,SP,Bom Sucesso de Itararé,3'984,4'013,3'555,3'576,3'610,3'609
350720,3507209,SP,Borá,838,839,907,886,928,932
350730,3507308,SP,Boracéia,4'868,4'913,4'715,4'783,4'823,4'838
350740,3507407,SP,Borborema,16'164,16'278,14'226,14'489,14'415,14'405
350745,3507456,SP,Borebi,2'683,2'713,2'713,2'742,2'787,2'801
350750,3507506,SP,Botucatu,148'130,149'718,145'155,149'324,150'442,151'053
350760,3507605,SP,Bragança Paulista,170'533,172'346,176'811,182'311,184'634,185'688
350770,3507704,SP,Braúna,5'741,5'795,5'356,5'438,5'466,5'477
350775,3507753,SP,Brejo Alegre,2'889,2'911,2'565,2'581,2'605,2'605
350780,3507803,SP,Brodowski,25'277,25'605,25'201,25'889,26'167,26'314
350790,3507902,SP,Brotas,24'636,24'862,23'898,24'331,24'423,24'501
350800,3508009,SP,Buri,19'965,20'050,20'250,20'582,20'674,20'731
350810,3508108,SP,Buritama,17'281,17'414,17'210,17'529,17'597,17'658
350820,3508207,SP,Buritizal,4'514,4'547,4'356,4'419,4'447,4'458
350830,3508306,SP,Cabrália Paulista,4'243,4'222,4'299,4'349,4'362,4'360
350840,3508405,SP,Cabreúva,50'429,51'130,47'011,48'166,48'473,48'654
350850,3508504,SP,Caçapava,95'018,95'752,96'202,99'021,99'678,100'071
350860,3508603,SP,Cachoeira Paulista,33'581,33'827,31'564,32'465,32'482,32'534
350870,3508702,SP,Caconde,19'009,19'031,17'101,17'379,17'266,17'228
350880,3508801,SP,Cafelândia,17'843,17'917,16'654,16'932,16'905,16'907
350890,3508900,SP,Caiabu,4'193,4'195,3'712,3'756,3'745,3'726
350900,3509007,SP,Caieiras,102'775,104'044,95'032,97'942,98'257,98'549
350910,3509106,SP,Caiuá,5'946,6'017,5'466,5'546,5'585,5'599
350920,3509205,SP,Cajamar,77'934,79'034,92'689,94'979,97'363,98'365
350925,3509254,SP,Cajati,28'494,28'441,28'515,29'353,29'257,29'262
350930,3509304,SP,Cajobi,10'596,10'649,9'133,9'284,9'232,9'210
350940,3509403,SP,Cajuru,26'393,26'613,23'830,24'244,24'217,24'233
350945,3509452,SP,Campina do Monte Alegre,6'057,6'088,5'954,6'037,6'077,6'090
350950,3509502,SP,Campinas,1'213'792,1'223'237,1'139'047,1'184'995,1'185'977,1'187'974
350960,3509601,SP,Campo Limpo Paulista,85'541,86'407,77'632,79'711,79'663,79'781
350970,3509700,SP,Campos do Jordão,52'405,52'713,46'974,48'206,47'983,47'956
350980,3509809,SP,Campos Novos Paulista,4'997,5'028,4'888,4'961,4'991,5'003
350990,3509908,SP,Cananéia,12'541,12'542,12'289,12'527,12'489,12'491
350995,3509957,SP,Canas,5'204,5'268,4'931,4'990,5'049,5'068
351000,3510005,SP,Cândido Mota,31'346,31'410,29'449,30'293,30'172,30'157
351010,3510104,SP,Cândido Rodrigues,2'799,2'805,2'889,2'926,2'951,2'959
351015,3510153,SP,Canitar,5'292,5'365,6'283,6'385,6'524,6'589
351020,3510203,SP,Capão Bonito,47'118,47'098,46'337,47'583,47'403,47'409
351030,3510302,SP,Capela do Alto,20'985,21'257,22'866,23'204,23'597,23'777
351040,3510401,SP,Capivari,56'379,56'973,50'068,51'364,51'318,51'369
351050,3510500,SP,Caraguatatuba,123'389,125'194,134'873,138'702,141'084,142'248
351060,3510609,SP,Carapicuíba,403'183,405'375,386'984,398'783,398'462,398'236
351070,3510708,SP,Cardoso,12'349,12'371,11'345,11'563,11'491,11'476
351080,3510807,SP,Casa Branca,30'520,30'655,28'083,28'864,28'786,28'779
351090,3510906,SP,Cássia dos Coqueiros,2'505,2'488,2'799,2'831,2'855,2'861
351100,3511003,SP,Castilho,21'267,21'521,19'977,20'341,20'418,20'485
351110,3511102,SP,Catanduva,122'497,123'114,115'791,119'271,119'172,119'275
351120,3511201,SP,Catiguá,7'855,7'905,7'003,7'112,7'105,7'101
351130,3511300,SP,Cedral,9'346,9'452,12'618,12'809,13'160,13'314
351140,3511409,SP,Cerqueira César,20'191,20'391,21'469,21'805,22'076,22'210
351150,3511508,SP,Cerquilho,49'802,50'631,44'695,45'931,46'217,46'391
351160,3511607,SP,Cesário Lange,18'375,18'595,19'048,19'331,19'588,19'707
351170,3511706,SP,Charqueada,17'367,17'539,15'535,15'782,15'798,15'814
351190,3511904,SP,Clementina,8'757,8'894,6'982,7'095,7'087,7'084
351200,3512001,SP,Colina,18'535,18'601,18'486,18'794,18'842,18'880
351210,3512100,SP,Colômbia,6'216,6'223,6'629,6'741,6'781,6'802
351220,3512209,SP,Conchal,28'273,28'491,28'101,28'856,29'034,29'132
351230,3512308,SP,Conchas,18'019,18'138,15'232,15'492,15'381,15'345
351240,3512407,SP,Cordeirópolis,24'826,25'116,24'514,24'875,25'130,25'286
351250,3512506,SP,Coroados,6'129,6'197,5'400,5'486,5'498,5'504
351260,3512605,SP,Coronel Macedo,4'635,4'591,4'280,4'326,4'295,4'271
351270,3512704,SP,Corumbataí,4'064,4'072,4'195,4'246,4'285,4'296
351280,3512803,SP,Cosmópolis,73'474,74'662,59'773,61'339,61'204,61'167
351290,3512902,SP,Cosmorama,7'298,7'289,8'719,8'838,8'968,9'019
351300,3513009,SP,Cotia,253'608,257'882,274'413,281'001,287'004,289'493
351310,3513108,SP,Cravinhos,35'579,35'858,33'281,34'245,34'252,34'307
351320,3513207,SP,Cristais Paulista,8'718,8'803,9'272,9'443,9'543,9'600
351330,3513306,SP,Cruzália,2'046,2'021,2'108,2'113,2'129,2'123
351340,3513405,SP,Cruzeiro,82'571,82'895,74'961,76'975,76'513,76'444
351350,3513504,SP,Cubatão,131'626,132'521,112'476,115'863,115'082,114'870
351360,3513603,SP,Cunha,21'459,21'373,22'110,22'494,22'456,22'460
351370,3513702,SP,Descalvado,33'910,34'097,31'756,32'681,32'622,32'663
351380,3513801,SP,Diadema,426'757,429'550,393'237,405'317,404'118,403'579
351385,3513850,SP,Dirce Reis,1'799,1'805,1'620,1'628,1'641,1'639
351390,3513900,SP,Divinolândia,11'086,11'027,11'158,11'334,11'314,11'305
351400,3514007,SP,Dobrada,9'010,9'088,8'759,8'904,8'958,8'986
351410,3514106,SP,Dois Córregos,27'512,27'704,24'510,24'943,24'855,24'847
351420,3514205,SP,Dolcinópolis,2'112,2'108,2'207,2'225,2'250,2'254
351430,3514304,SP,Dourado,8'878,8'883,8'096,8'228,8'186,8'169
351440,3514403,SP,Dracena,47'043,47'287,45'474,46'601,46'664,46'735
351450,3514502,SP,Duartina,12'433,12'421,12'328,12'553,12'529,12'532
351460,3514601,SP,Dumont,10'023,10'174,9'471,9'612,9'719,9'764
351470,3514700,SP,Echaporã,6'064,6'026,6'205,6'293,6'295,6'291
351480,3514809,SP,Eldorado,15'544,15'592,13'069,13'306,13'162,13'109
351490,3514908,SP,Elias Fausto,17'936,18'095,17'699,17'985,18'103,18'168
351492,3514924,SP,Elisiário,3'697,3'742,3'138,3'155,3'189,3'190
351495,3514957,SP,Embaúba,2'449,2'446,2'323,2'341,2'353,2'349
351500,3515004,SP,Embu das Artes,276'535,279'264,250'691,259'681,259'323,259'788
351510,3515103,SP,Embu-Guaçu,69'901,70'402,66'970,68'722,68'805,68'913
351512,3515129,SP,Emilianópolis,3'227,3'238,3'014,3'053,3'062,3'061
351515,3515152,SP,Engenheiro Coelho,21'249,21'712,19'566,19'833,20'139,20'261
351518,3515186,SP,Espírito Santo do Pinhal,44'471,44'607,39'816,40'953,40'681,40'610
351519,3515194,SP,Espírito Santo do Turvo,4'878,4'926,4'157,4'190,4'217,4'214
351520,3515202,SP,Estrela d'Oeste,8'419,8'420,9'417,9'567,9'655,9'696
351530,3515301,SP,Estrela do Norte,2'770,2'774,2'703,2'722,2'749,2'751
351535,3515350,SP,Euclides da Cunha Paulista,9'325,9'280,7'924,8'034,7'928,7'883
351540,3515400,SP,Fartura,16'070,16'102,16'641,16'936,16'984,17'029
351550,3515509,SP,Fernandópolis,69'402,69'680,71'186,72'881,73'286,73'508
351560,3515608,SP,Fernando Prestes,5'794,5'805,5'942,6'032,6'066,6'080
351565,3515657,SP,Fernão,1'727,1'739,1'656,1'665,1'689,1'692
351570,3515707,SP,Ferraz de Vasconcelos,196'500,198'661,179'198,185'452,185'622,186'479
351580,3515806,SP,Flora Rica,1'430,1'397,1'487,1'486,1'492,1'483
351590,3515905,SP,Floreal,2'900,2'884,2'733,2'751,2'756,2'747
351600,3516002,SP,Flórida Paulista,14'790,14'936,12'958,13'188,13'171,13'175
351610,3516101,SP,Florínea,2'653,2'631,3'851,3'915,3'987,4'022
351620,3516200,SP,Franca,355'901,358'539,352'536,362'552,364'331,365'494
351630,3516309,SP,Francisco Morato,177'633,179'372,165'139,170'823,171'107,171'476
351640,3516408,SP,Franco da Rocha,156'492,158'438,144'849,149'208,149'786,150'241
351650,3516507,SP,Gabriel Monteiro,2'776,2'776,2'763,2'796,2'811,2'813
351660,3516606,SP,Gália,6'482,6'419,6'380,6'479,6'435,6'413
351670,3516705,SP,Garça,44'409,44'429,42'110,43'317,43'115,43'081
351680,3516804,SP,Gastão Vidigal,4'860,4'911,3'252,3'253,3'235,3'203
351685,3516853,SP,Gavião Peixoto,4'815,4'841,4'702,4'753,4'797,4'806
351690,3516903,SP,General Salgado,10'862,10'855,10'312,10'500,10'449,10'437
351700,3517000,SP,Getulina,11'447,11'485,10'232,10'408,10'355,10'337
351710,3517109,SP,Glicério,4'829,4'842,4'138,4'192,4'173,4'158
351720,3517208,SP,Guaiçara,12'294,12'416,11'239,11'426,11'459,11'478
351730,3517307,SP,Guaimbê,5'785,5'806,5'512,5'599,5'606,5'609
351740,3517406,SP,Guaíra,41'040,41'283,39'279,40'387,40'424,40'489
351750,3517505,SP,Guapiaçu,21'775,22'087,21'711,21'998,22'316,22'445
351760,3517604,SP,Guapiara,17'025,16'896,17'071,17'370,17'256,17'225
351770,3517703,SP,Guará,21'308,21'394,18'606,18'932,18'790,18'748
351780,3517802,SP,Guaraçaí,8'290,8'258,7'441,7'570,7'486,7'453
351790,3517901,SP,Guaraci,11'287,11'382,10'350,10'544,10'542,10'554
351800,3518008,SP,Guarani d'Oeste,1'998,1'996,1'968,1'965,1'999,1'999
351810,3518107,SP,Guarantã,6'675,6'685,6'427,6'527,6'531,6'532
351820,3518206,SP,Guararapes,33'100,33'257,31'043,31'944,31'872,31'888
351830,3518305,SP,Guararema,30'136,30'465,31'236,32'078,32'436,32'620
351840,3518404,SP,Guaratinguetá,122'505,123'192,118'044,121'636,121'710,121'916
351850,3518503,SP,Guareí,18'887,19'244,15'013,15'240,15'268,15'285
351860,3518602,SP,Guariba,40'487,40'857,37'498,38'554,38'609,38'678
351870,3518701,SP,Guarujá,322'750,324'977,287'634,296'455,294'973,294'871
351880,3518800,SP,Guarulhos,1'392'121,1'404'694,1'291'771,1'344'768,1'345'364,1'349'100
351885,3518859,SP,Guatapará,7'709,7'760,7'320,7'446,7'462,7'474
351890,3518909,SP,Guzolândia,5'307,5'346,4'246,4'298,4'276,4'259
351900,3519006,SP,Herculândia,9'588,9'649,9'125,9'282,9'302,9'316
351905,3519055,SP,Holambra,15'272,15'605,15'094,15'318,15'596,15'718
351907,3519071,SP,Hortolândia,234'259,237'570,236'641,244'047,247'331,248'842
351910,3519105,SP,Iacanga,11'858,12'002,10'437,10'607,10'633,10'648
351920,3519204,SP,Iacri,6'295,6'269,6'131,6'220,6'207,6'197
351925,3519253,SP,Iaras,9'517,9'786,8'010,8'151,8'257,8'313
351930,3519303,SP,Ibaté,35'472,35'830,32'178,33'091,33'110,33'160
351940,3519402,SP,Ibirá,12'518,12'639,11'690,11'903,11'934,11'952
351950,3519501,SP,Ibirarema,7'841,7'926,6'385,6'490,6'461,6'450
351960,3519600,SP,Ibitinga,60'600,61'150,60'033,61'477,61'908,62'143
351970,3519709,SP,Ibiúna,79'479,80'062,75'605,77'593,77'651,77'801
351980,3519808,SP,Icém,8'304,8'363,7'819,7'953,7'969,7'982
351990,3519907,SP,Iepê,8'194,8'228,7'619,7'759,7'739,7'739
352000,3520004,SP,Igaraçu do Tietê,24'749,24'821,23'106,23'528,23'430,23'421
352010,3520103,SP,Igarapava,30'614,30'791,26'212,26'957,26'755,26'696
352020,3520202,SP,Igaratá,9'583,9'631,10'605,10'778,10'904,10'984
352030,3520301,SP,Iguape,30'989,31'117,29'115,29'981,29'881,29'891
352040,3520400,SP,Ilhabela,35'591,36'194,34'934,35'862,36'329,36'559
352042,3520426,SP,Ilha Comprida,11'362,11'552,13'419,13'714,13'955,14'104
352044,3520442,SP,Ilha Solteira,26'788,26'886,25'549,26'297,26'240,26'257
352050,3520509,SP,Indaiatuba,256'223,260'690,255'748,263'540,267'796,269'657
352060,3520608,SP,Indiana,4'879,4'873,5'090,5'168,5'191,5'200
352070,3520707,SP,Indiaporã,3'886,3'876,4'035,4'094,4'109,4'113
352080,3520806,SP,Inúbia Paulista,4'019,4'045,3'615,3'662,3'671,3'671
352090,3520905,SP,Ipaussu,15'069,15'165,13'712,13'965,13'933,13'935
352100,3521002,SP,Iperó,37'964,38'771,36'459,37'374,37'999,38'277
352110,3521101,SP,Ipeúna,7'687,7'824,6'831,6'933,6'999,7'027
352115,3521150,SP,Ipiguá,5'476,5'557,6'761,6'843,7'037,7'115
352120,3521200,SP,Iporanga,4'199,4'180,4'046,4'094,4'091,4'083
352130,3521309,SP,Ipuã,16'604,16'794,14'454,14'695,14'691,14'701
352140,3521408,SP,Iracemápolis,24'614,24'982,21'967,22'328,22'435,22'500
352150,3521507,SP,Irapuã,8'048,8'101,6'867,6'963,6'946,6'932
352160,3521606,SP,Irapuru,8'325,8'356,7'085,7'191,7'145,7'120
352170,3521705,SP,Itaberá,17'480,17'405,17'983,18'277,18'258,18'263
352180,3521804,SP,Itaí,27'382,27'632,25'180,25'894,25'930,25'979
352190,3521903,SP,Itajobi,15'297,15'331,16'989,17'222,17'420,17'502
352200,3522000,SP,Itaju,3'887,3'937,3'618,3'657,3'702,3'715
352210,3522109,SP,Itanhaém,103'102,104'351,112'476,115'546,117'435,118'495
352215,3522158,SP,Itaoca,3'330,3'332,3'422,3'457,3'490,3'497
352220,3522208,SP,Itapecerica da Serra,177'662,179'574,158'522,164'168,163'928,163'003
352230,3522307,SP,Itapetininga,165'526,167'106,157'790,163'157,163'774,164'256
352240,3522406,SP,Itapeva,94'804,95'241,89'728,92'532,92'324,92'393
352250,3522505,SP,Itapevi,240'961,244'131,232'297,240'012,241'924,242'995
352260,3522604,SP,Itapira,75'234,75'683,72'022,73'806,73'919,74'038
352265,3522653,SP,Itapirapuã Paulista,4'268,4'294,4'306,4'350,4'405,4'420
352270,3522703,SP,Itápolis,43'331,43'536,39'493,40'619,40'464,40'445
352280,3522802,SP,Itaporanga,15'173,15'197,14'085,14'333,14'260,14'245
352290,3522901,SP,Itapuí,14'147,14'297,13'659,13'878,13'984,14'035
352300,3523008,SP,Itapura,4'951,4'994,3'979,4'020,4'014,4'002
352310,3523107,SP,Itaquaquecetuba,375'011,379'082,369'275,379'913,382'521,382'983
352320,3523206,SP,Itararé,50'642,50'778,44'438,45'741,45'327,45'213
352330,3523305,SP,Itariri,17'598,17'754,15'528,15'796,15'762,15'916
352340,3523404,SP,Itatiba,122'581,124'254,121'590,124'975,126'403,127'112
352350,3523503,SP,Itatinga,20'921,21'139,19'070,19'396,19'427,19'462
352360,3523602,SP,Itirapina,18'387,18'610,16'148,16'449,16'433,16'454
352370,3523701,SP,Itirapuã,6'543,6'587,5'779,5'866,5'861,5'857
352380,3523800,SP,Itobi,7'852,7'862,8'046,8'171,8'210,8'227
352390,3523909,SP,Itu,175'568,177'150,168'240,174'005,174'561,175'047
352400,3524006,SP,Itupeva,62'813,64'330,70'616,72'067,74'119,74'994
352410,3524105,SP,Ituverava,42'045,42'259,37'571,38'651,38'451,38'413
352420,3524204,SP,Jaborandi,6'946,6'963,6'221,6'315,6'293,6'280
352430,3524303,SP,Jaboticabal,77'652,78'029,71'821,73'673,73'467,73'473
352440,3524402,SP,Jacareí,235'416,237'119,240'275,248'288,249'968,250'952
352450,3524501,SP,Jaci,7'196,7'322,7'613,7'695,7'878,7'944
352460,3524600,SP,Jacupiranga,17'889,17'911,16'097,16'389,16'254,16'216
352470,3524709,SP,Jaguariúna,58'722,59'921,59'347,60'558,61'801,62'309
352480,3524808,SP,Jales,49'201,49'291,48'776,50'027,50'017,50'078
352490,3524907,SP,Jambeiro,6'717,6'828,6'397,6'502,6'575,6'611
352500,3525003,SP,Jandira,126'356,127'734,118'045,121'667,121'988,121'550
352510,3525102,SP,Jardinópolis,44'970,45'544,45'282,46'383,46'868,47'125
352520,3525201,SP,Jarinu,30'617,31'173,37'535,38'452,39'531,40'007
352530,3525300,SP,Jaú,151'881,153'463,133'497,137'605,137'323,137'409
352540,3525409,SP,Jeriquara,3'151,3'143,3'863,3'896,3'976,4'000
352550,3525508,SP,Joanópolis,13'338,13'453,12'815,13'036,13'095,13'131
352560,3525607,SP,João Ramalho,4'551,4'577,4'371,4'426,4'456,4'464
352570,3525706,SP,José Bonifácio,37'366,37'707,36'633,37'610,37'859,37'992
352580,3525805,SP,Júlio Mesquita,4'800,4'824,4'254,4'299,4'308,4'302
352585,3525854,SP,Jumirim,3'418,3'467,3'056,3'071,3'123,3'132
352590,3525904,SP,Jundiaí,423'006,426'935,443'221,454'916,460'313,463'039
352600,3526001,SP,Junqueirópolis,20'831,20'978,20'448,20'795,20'878,20'939
